stat_time_day,video_watched_6s,average_video_play,ctr,average_video_play_per_user,video_views_p50,profile_visits,impressions,engaged_view_15s,conversion_rate,cpc,cpm,likes,shares,video_play_actions,video_views_p25,cost_per_conversion,clicks_on_music_disc,follows,video_watched_2s,engaged_view,total_complete_payment_rate,spend,video_views_p100,comments,video_views_p75,clicks,conversion,shopping,shopping_sigla
2025-09-26 00:00:00,91,1.1,0.0,3.31,23,3,8799,25,0.0,0.0,2.29,6,0,8756,51,0.0,0,0,505,91,0.0,20.15,8,0,15,0,0,Nacoes Shopping,NS
2025-09-18 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2025-10-08 00:00:00,215,1.22,0.0,2.11,56,25,15995,69,0.0,0.0,2.33,8,0,15824,137,0.0,0,3,1281,215,0.0,37.29,19,1,31,0,0,Nacoes Shopping,NS
2025-10-03 00:00:00,264,1.22,0.0,2.13,60,20,19340,79,0.0,0.0,2.11,15,0,19177,165,0.0,0,1,1527,260,0.0,40.83,16,0,33,0,0,Nacoes Shopping,NS
2025-09-28 00:00:00,191,1.17,0.0,2.8,42,14,18281,65,0.0,0.0,2.34,9,1,18174,120,0.0,0,0,1159,190,0.0,42.78,17,1,29,0,0,Nacoes Shopping,NS
2025-10-13 00:00:00,221,1.19,0.0,2.18,49,20,16174,77,0.0,0.0,2.1,13,0,16070,139,0.0,0,0,1129,214,0.0,33.98,21,1,32,0,0,Nacoes Shopping,NS
2025-09-17 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2025-09-27 00:00:00,196,1.13,0.0,3.06,51,23,17467,52,0.0,0.0,2.42,2,0,17373,125,0.0,0,0,1073,191,0.0,42.29,13,0,26,0,0,Nacoes Shopping,NS
2025-10-14 00:00:00,214,1.21,0.0,2.17,53,26,15236,76,0.0,0.0,2.23,10,0,15119,129,0.0,0,1,1107,212,0.0,33.94,23,0,35,0,0,Nacoes Shopping,NS
2025-10-09 00:00:00,253,1.36,0.0,2.36,70,31,15966,86,0.0,0.0,2.3,3,0,15832,167,0.0,0,2,1254,250,0.0,36.76,20,0,41,0,0,Nacoes Shopping,NS
2025-10-04 00:00:00,252,1.18,0.0,2.32,63,36,19342,78,0.0,0.0,1.99,6,0,19208,149,0.0,0,0,1389,251,0.0,38.47,19,0,33,0,0,Nacoes Shopping,NS
2025-09-29 00:00:00,199,1.2,0.0,2.51,59,15,17102,71,0.0,0.0,2.49,9,0,16986,130,0.0,0,1,1203,195,0.0,42.54,15,0,30,0,0,Nacoes Shopping,NS
2025-09-15 00:00:00,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Nacoes Shopping,NS
2025-10-05 00:00:00,234,1.19,0.0,2.28,61,34,19237,67,0.0,0.0,1.95,6,0,19115,159,0.0,0,0,1365,227,0.0,37.51,21,0,34,0,0,Nacoes Shopping,NS
2025-09-30 00:00:00,229,1.21,0.0,2.39,60,8,16584,59,0.0,0.0,2.51,9,0,16456,139,0.0,0,0,1240,222,0.0,41.56,13,0,25,0,0,Nacoes Shopping,NS
2025-10-10 00:00:00,232,1.19,0.0,2.11,57,29,17566,73,0.0,0.0,2.14,16,0,17441,155,0.0,0,3,1201,233,0.0,37.58,19,0,34,0,0,Nacoes Shopping,NS
2025-11-12 00:00:00,2250,2.76,4.98,3.72,2210,24,18801,2359,0.0,0.09,4.27,3,1,16281,2979,0.0,0,2,3102,2905,0.0,80.31,1766,0,2023,937,0,Nacoes Shopping,NS
2025-11-07 00:00:00,1657,2.27,0.04,3.5,656,45,20477,481,0.0,7.49,2.93,68,0,20307,1581,0.0,0,13,4570,1496,0.0,59.9,202,3,420,8,0,Nacoes Shopping,NS
2025-11-02 00:00:00,2979,2.48,0.08,3.77,1274,58,27761,851,0.0,3.28,2.48,97,2,27603,3016,0.0,0,13,7458,2733,0.0,68.81,404,1,794,21,0,Nacoes Shopping,NS
2025-10-23 00:00:00,106,1.14,0.0,1.8,24,13,8995,37,0.0,0.0,2.55,10,0,8926,86,0.0,0,0,571,109,0.0,22.95,8,0,13,0,0,Nacoes Shopping,NS
2025-10-16 00:00:00,189,1.21,0.0,2.07,41,23,13915,63,0.0,0.0,2.38,8,1,13816,123,0.0,0,0,1024,187,0.0,33.14,15,0,24,0,0,Nacoes Shopping,NS
2025-11-05 00:00:00,2502,2.4,0.06,3.39,994,56,25235,716,0.0,4.24,2.69,125,2,24994,2468,0.0,0,12,6410,2287,0.0,67.83,296,4,625,16,0,Nacoes Shopping,NS
2025-10-31 00:00:00,2748,2.46,0.04,4.13,1079,87,25618,774,0.0,8.63,3.03,132,2,25445,2598,0.0,0,20,6432,2521,0.0,77.64,330,4,690,9,0,Nacoes Shopping,NS
2025-10-26 00:00:00,6,0.98,0.0,1.1,3,2,825,1,0.0,0.0,1.98,0,0,824,6,0.0,0,0,45,6,0.0,1.63,1,0,1,0,0,Nacoes Shopping,NS
2025-10-21 00:00:00,110,1.09,0.0,1.82,27,12,11039,31,0.0,0.0,2.46,7,0,10966,85,0.0,0,1,766,111,0.0,27.18,10,0,14,0,0,Nacoes Shopping,NS
