platform,stat_time_day,conversion,clicks,spend,cpm,conversion_rate,ctr,cost_per_conversion,impressions,cpc,shopping,shopping_sigla
IPHONE,2025-10-15 00:00:00,0,0,12.8,2.29,0.0,0.0,0.0,5594,0.0,Nacoes Shopping,NS
IPAD,2025-10-15 00:00:00,0,0,0.02,0.65,0.0,0.0,0.0,31,0.0,Nacoes Shopping,NS
UNKNOWN,2025-10-16 00:00:00,0,0,0.02,0.0,0.0,0.0,0.0,0,0.0,Nacoes Shopping,NS
ANDROID,2025-10-16 00:00:00,0,0,19.67,2.4,0.0,0.0,0.0,8187,0.0,Nacoes Shopping,NS
IPHONE,2025-10-16 00:00:00,0,0,13.4,2.35,0.0,0.0,0.0,5699,0.0,Nacoes Shopping,NS
IPAD,2025-10-16 00:00:00,0,0,0.05,1.72,0.0,0.0,0.0,29,0.0,Nacoes Shopping,NS
ANDROID,2025-10-17 00:00:00,0,0,19.28,2.33,0.0,0.0,0.0,8277,0.0,Nacoes Shopping,NS
IPHONE,2025-10-17 00:00:00,0,0,14.29,2.25,0.0,0.0,0.0,6355,0.0,Nacoes Shopping,NS
IPAD,2025-10-17 00:00:00,0,0,0.02,1.67,0.0,0.0,0.0,12,0.0,Nacoes Shopping,NS
ANDROID,2025-10-18 00:00:00,0,0,16.81,2.12,0.0,0.0,0.0,7911,0.0,Nacoes Shopping,NS
IPHONE,2025-10-18 00:00:00,0,0,14.1,2.14,0.0,0.0,0.0,6591,0.0,Nacoes Shopping,NS
IPAD,2025-10-18 00:00:00,0,0,0.03,2.14,0.0,0.0,0.0,14,0.0,Nacoes Shopping,NS
ANDROID,2025-10-19 00:00:00,0,0,16.76,2.22,0.0,0.0,0.0,7541,0.0,Nacoes Shopping,NS
IPHONE,2025-10-19 00:00:00,0,0,12.59,2.02,0.0,0.0,0.0,6245,0.0,Nacoes Shopping,NS
IPAD,2025-10-19 00:00:00,0,0,0.0,0.0,0.0,0.0,0.0,11,0.0,Nacoes Shopping,NS
ANDROID,2025-10-20 00:00:00,0,0,16.64,2.28,0.0,0.0,0.0,7283,0.0,Nacoes Shopping,NS
IPHONE,2025-10-20 00:00:00,0,0,11.88,2.18,0.0,0.0,0.0,5446,0.0,Nacoes Shopping,NS
