stat_time_day,adgroup_id,conversion_rate,shares,conversion,follows,cost_per_conversion,spend,clicks,comments,cpc,impressions,profile_visits,cpm,likes,total_complete_payment_rate,ctr,clicks_on_music_disc,shopping,shopping_sigla,adgroup_name,campaign_id,optimization_goal,campaign_name
2025-05-27 00:00:00,1832310162363394,0.0,0,0,0,0.0,6.51,0,0,0.0,3877,5,1.68,7,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250516053558,1832310190695458,REACH,Alcance - Balde Stich
2025-06-20 00:00:00,1834189956238466,0.0,0,0,0,0.0,8.74,0,0,0.0,4016,6,2.18,2,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250606112447,1834189805149297,REACH,Alcance - Menu Mamma Mia
2025-06-10 00:00:00,1834189956238466,0.0,0,0,0,0.0,9.85,0,0,0.0,5034,3,1.96,1,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250606112447,1834189805149297,REACH,Alcance - Menu Mamma Mia
2025-05-24 00:00:00,1832195963833393,0.0,0,0,1,0.0,6.67,0,0,0.0,4605,11,1.45,7,0.0,0.0,0,Nacoes Shopping,NS,Ad group 20250515111515,1832195984469169,REACH,ALC - Boliche
2025-05-30 00:00:00,1831563577498689,0.0,0,0,14,0.0,72.31,40,3,1.81,28361,41,2.55,28,0.0,0.14,0,Nacoes Shopping,NS,Grupo de anúncios 20250508114315,1831563577497601,REACH,Alcance - Promo mães
2025-06-13 00:00:00,1834189956238466,0.0,0,0,2,0.0,10.99,0,0,0.0,5364,11,2.05,1,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250606112447,1834189805149297,REACH,Alcance - Menu Mamma Mia
2025-06-19 00:00:00,1831563577498689,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250508114315,1831563577497601,REACH,Alcance - Promo mães
2025-06-16 00:00:00,1834023873647778,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250604032523,1834023865172002,REACH,Alcance - Campanha Namorados
2025-06-06 00:00:00,1834023873647778,0.0,0,0,1,0.0,49.93,38,0,1.31,22032,31,2.27,10,0.0,0.17,0,Nacoes Shopping,NS,Grupo de anúncios 20250604032523,1834023865172002,REACH,Alcance - Campanha Namorados
2025-05-30 00:00:00,1832310162363394,0.0,0,0,1,0.0,3.88,0,0,0.0,2048,3,1.89,4,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250516053558,1832310190695458,REACH,Alcance - Balde Stich
2025-06-13 00:00:00,1834024744124754,0.0,0,0,9,0.0,11.07,0,0,0.0,983,1,11.26,16,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250604033849,1834024046778385,FOLLOWERS,Interação com a comunidade - Panda Cafe
2025-07-16 00:00:00,1837825486146706,0.0,0,0,0,0.0,6.82,0,0,0.0,3604,1,1.89,1,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250716023106,1837825011433617,REACH,Alcance - Copo smurf 
2025-06-30 00:00:00,1836365576805442,0.0,0,0,0,0.0,4.95,0,0,0.0,2315,5,2.14,3,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
2025-07-07 00:00:00,1836365159959570,0.0,3,0,3,0.0,19.28,0,0,0.0,10052,20,1.92,23,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630113815,1836365112269874,REACH,ALC - planet games
2025-07-20 00:00:00,1836365576805442,0.0,0,0,1,0.0,17.25,0,0,0.0,8206,13,2.1,9,0.0,0.0,0,Nacoes Shopping,NS,Grupo de anúncios 20250630114506,1836365551154273,REACH,ALC - Villa - Vinicius Camilo 
