data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2026-02-02,Google Ads,188433,4755,1467.617928,4697.559353,8.0,0.0252344334591074,0.3086473034700315,7.788539841747464,0.0054510099988367006,0.3124213698466068
2026-02-03,Google Ads,574901,8872,6910.471547,8672.417472,7.0,0.0154322222434819,0.778907974188458,12.020280964896564,0.0010129554766836232,0.7968333592462926
2026-02-04,Google Ads,529988,9855,7777.871197,8747.602809,6.0,0.0185947606360898,0.789230968746829,14.675560950436614,0.0007714193058782277,0.8891431591975932
2026-02-05,Google Ads,377631,3398,4686.870352,7192.542295,4.0,0.0089982019484629,1.379302634490877,12.411243653195843,0.0008534479726526047,0.6516291680701197
2026-02-06,Google Ads,715,32,7.184525,27.333334,0.0,0.0447552447552447,0.22451640625,10.048286713286712,0.0,0.2628484691988178
2026-02-07,Google Ads,1282300,17102,11396.384164,17878.396208,7.0,0.0133369726273103,0.6663772754063851,8.887455481556577,0.0006142299082995357,0.6374388413486713
2026-02-08,Google Ads,986492,16279,9163.022111,15297.354175,13.0,0.0165019077701593,0.5628737705633025,9.28849104807743,0.0014187458943696965,0.5989939179139128
2026-02-09,Google Ads,204568,4285,1616.43303,4464.756376,6.0,0.0209465801102811,0.3772305787631272,7.901690538109577,0.0037118766374131815,0.3620428291875068
2026-02-10,Google Ads,58718,3418,514.608951,2828.234862,5.0,0.0582104295105419,0.1505584994148625,8.76407491740182,0.009716115489798388,0.18195410781270543
2026-02-11,Google Ads,61133,3085,467.520622,2646.945921,1.0,0.0504637429866029,0.1515463928687196,7.647598220273829,0.002138943081744959,0.17662643512693058
2026-02-12,Google Ads,59913,3025,547.599542,2863.830592,4.0,0.0504898769882997,0.1810246419834711,9.139911905596449,0.0073046080086020225,0.1912122677681069
2026-02-13,Google Ads,97684,3417,718.034024,3630.343911,1.0,0.0349801400434052,0.2101357986537899,7.350579665042382,0.0013926916644273113,0.19778677767259062
2026-02-14,Google Ads,103054,4873,693.343873,5232.250192,4.0,0.0472858889514235,0.1422827566180997,6.727966629145885,0.005769143069935227,0.1325135166625075
2026-02-15,Google Ads,96372,4507,590.888508,4412.366582,8.0,0.0467666957207487,0.1311046168182826,6.131329722325987,0.013538933134912145,0.13391645889317
2026-02-16,Google Ads,95031,4559,586.991626,4317.469656,6.0,0.0479738190695667,0.1287544694011844,6.176843619450495,0.010221610895689336,0.1359573251856573
2026-02-17,Google Ads,105149,4359,509.614863,3655.373579,3.0,0.0414554584446832,0.1169109573296627,4.846597333307972,0.00588679847824611,0.13941526139153615
2026-02-18,Google Ads,93739,2422,429.656465,2545.108669,1.0,0.0258376982899326,0.1773973843930635,4.58354009537119,0.0023274408311300516,0.1688165500488498
2026-02-19,Google Ads,77890,1999,469.411167,2020.465793,2.0,0.0256643985107202,0.2348229949974987,6.026590923096674,0.004260657054202547,0.23232819314550995
2026-02-20,Google Ads,115545,2942,676.742844,3066.946329,0.0,0.0254619412350166,0.2300281590754588,5.856963468778398,0.0,0.22065689171047767
2026-02-21,Google Ads,109841,4134,718.574974,3625.987728,0.0,0.0376362196265511,0.1738207484276729,6.541955863475387,0.0,0.19817358135305857
2026-02-22,Google Ads,106725,3153,630.130904,3048.602487,0.0,0.0295432185523541,0.1998512223279416,5.904248339189506,0.0,0.20669500424769546
2026-02-23,Google Ads,42991,2009,349.981427,1754.217308,0.0,0.046730711079063,0.1742067829766053,8.140806843292781,0.0,0.19950859303686677
2026-02-24,Google Ads,48733,2369,413.77025,2021.780461,0.0,0.0486118236102846,0.1746602997045166,8.49055568095541,0.0,0.20465636995786554
2026-02-25,Google Ads,26789,2307,375.476434,1437.684658,0.0,0.0861174362611519,0.1627552813177286,14.016067565045354,0.0,0.26116744858523766
2026-02-26,Google Ads,35282,2223,436.391238,1309.50472,0.0,0.0630066322770818,0.1963073495276653,12.368664984978174,0.0,0.3332490760323491
2026-02-27,Google Ads,42381,2354,548.567769,1390.974072,1.0,0.0555437578160024,0.2330364354290569,12.943719331776032,0.0018229288275957752,0.39437670337826397
2026-02-28,Google Ads,49765,3868,636.143939,1909.943518,0.0,0.0777253089520747,0.1644632727507756,12.78295868582337,0.0,0.33306950336737656
2026-03-01,Google Ads,40436,3748,530.025921,1556.819241,0.0,0.0926896824611732,0.1414156672892209,13.107773296072807,0.0,0.34045437456152305
2026-03-02,Google Ads,43903,2331,384.843991,421.0,0.0,0.0530943215725576,0.1650982372372372,8.765778898936292,0.0,0.9141187434679335
2026-03-03,Google Ads,41606,2517,467.894983,439.0,0.0,0.0604960822958227,0.1858939145808502,11.245853554775755,0.0,1.0658200068337131
2026-03-04,Google Ads,45850,2766,473.626584,209.0,0.0,0.0603271537622682,0.1712315921908893,10.329914591057797,0.0,2.26615590430622
2026-03-05,Google Ads,50542,2685,532.479045,2.0,0.0,0.0531241343832851,0.198316217877095,10.535377408887658,0.0,266.2395225
