plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - NATAL 25,466480,727.43,11275.0,3357.0,1879.0,1314.0,,
Meta Ads,Aventura Canina,218006,999.61,2699.0,1397.0,989.0,770.0,,
Meta Ads,Reels Aventura Canina,263380,1000.0,27305.0,13350.0,8557.0,6272.0,,
Meta Ads,TRAF - NATAL 25 - CLIQUES,93529,378.38,401.0,205.0,114.0,77.0,,
Meta Ads,Video Campanha Jeep,67856,433.83,4786.0,2234.0,1184.0,579.0,,
Meta Ads,Sessão especial Wicked,66531,349.76,152.0,70.0,47.0,38.0,,
Meta Ads,Vilão Favorito,238182,1000.0,1208.0,610.0,430.0,352.0,,
Meta Ads,ALC - NATAL 25,1330988,1690.37,13010.0,4536.0,2182.0,1406.0,,
Meta Ads,TRAF - NATAL 25 - CLIQUES,518248,1863.56,5318.0,2548.0,1625.0,1045.0,,
Meta Ads,Video Campanha Jeep,818,11.18,103.0,54.0,35.0,21.0,,
Meta Ads,ALC - Pet Day,272528,500.0,327.0,159.0,96.0,64.0,,
Meta Ads,ALC - Encontro com personagens,279027,500.0,207.0,81.0,61.0,41.0,,
Meta Ads,ENG - PANETONE,50871,249.97,14202.0,7402.0,5742.0,2603.0,,
Meta Ads,ALC - NATAL 25,719982,558.4,12861.0,4674.0,2193.0,1426.0,,
Meta Ads,TRAF - NATAL 25 - CLIQUES,177147,519.77,5210.0,2440.0,1486.0,948.0,,
Meta Ads,ALC - Capivalley - CS,84150,80.91,,,,,,
Meta Ads,ALC - LIQUIDA 25,1531602,2999.97,28901.0,12514.0,7651.0,5588.0,,
Meta Ads,ALC - VOLTA AS AULAS,489254,547.94,3211.0,633.0,343.0,226.0,,
Meta Ads,ALC - SUMMER,669400,799.26,19122.0,5705.0,3310.0,2356.0,,
Meta Ads,ALC - VOLTA AS AULAS,179722,161.56,203.0,36.0,20.0,17.0,,
Meta Ads,ALC - SUMMER,224455,236.65,13322.0,2383.0,1359.0,933.0,,
Meta Ads,ALC - Semana do Cinema - BS JAN 25,122997,152.77,,,,,,
Meta Ads,ALC - Inauguração - Shantal,57309,70.26,147.0,60.0,27.0,17.0,,
Meta Ads,ALC - Arena Summer Vibes Sephora,578561,885.72,17493.0,7339.0,2841.0,2004.0,,
Meta Ads,ALC - VOLTA AS AULAS,182680,196.75,859.0,174.0,65.0,39.0,,
Meta Ads,ALC - SUMMER,746655,829.08,40133.0,9047.0,4958.0,3430.0,,
Meta Ads,ALC - Semana do Cinema - BS JAN 25,287362,347.0,,,,,,
Meta Ads,ALC - Inauguração - Shantal,336289,393.54,380.0,163.0,70.0,51.0,,
Meta Ads,ALC - Arena Summer Vibes Sephora,704632,1114.28,5397.0,2053.0,1156.0,587.0,,
Meta Ads,TRAF - ARENA SUMMER VIBES SEPHORA,979188,1000.0,7471.0,3582.0,2333.0,1825.0,,
Meta Ads,ALC - Carnaval Kids,1583487,2000.0,,,,,,
Meta Ads,TRAF - Carnaval,288124,1000.0,,,,,,
Meta Ads,ALC - Ghibli Fest,112007,131.37,,,,,,
Meta Ads,ALC - Moda Feminina | Verão - AON,131147,157.62,36.0,9.0,3.0,3.0,,
Meta Ads,ALC - Moda Masculina - AON,105054,131.05,732.0,140.0,45.0,24.0,,
Meta Ads,ALC - Lojas Corredor Zara,133179,157.12,1598.0,674.0,268.0,140.0,,
Meta Ads,ALC - Ghibli Fest,61993,60.14,,,,,,
Meta Ads,ALC - Moda Feminina | Verão - AON,626604,710.03,460.0,129.0,76.0,50.0,,
Meta Ads,ALC - Moda Masculina - AON,485483,591.33,599.0,110.0,40.0,28.0,,
Meta Ads,ALC - Lojas Corredor Zara,580466,653.96,4424.0,1467.0,648.0,392.0,,
Meta Ads,ALC - GASTRONOMIA - BS,2937278,3881.09,,,,,,
Meta Ads,ALC - MINI DAY SPA,352921,500.0,1874.0,419.0,195.0,128.0,,
Meta Ads,ALC - UNIZUSHI + DULADU,760987,988.44,5763.0,1490.0,793.0,496.0,,
Meta Ads,ALC - PASSAPORTE ELAS,611637,1000.0,,,,,,
Meta Ads,ALC - Heroínas do K-pop,1571968,2499.93,,,,,,
Meta Ads,ALC - PROMO IPHONE,475627,705.79,11517.0,4132.0,2504.0,1755.0,,
Meta Ads,ALC - A casa mágica da Gabby,235448,350.0,,,,,,
Meta Ads,ALC - Programação para os pequenos no fds,30654,39.58,,,,,,
Meta Ads,ALC - UNIZUSHI + DULADU,804839,962.23,4365.0,1206.0,615.0,343.0,,
Meta Ads,ALC - PROMO IPHONE,1750759,2293.95,54857.0,17498.0,10053.0,6876.0,,
Meta Ads,ALC - Programação para os pequenos no fds,0,0.0,,,,,,
Meta Ads,TRAF - IPHONE,186776,999.88,1985.0,1000.0,663.0,497.0,,
Meta Ads,ALC -  New in: Louen,201646,243.36,,,,,,
