hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
21,Google Ads,2448,604,62.305336,466.16431,24.673202614379086,0.1031545298013245
22,Google Ads,1379,331,30.639655,192.633334,24.002900652646847,0.09256693353474321
23,Google Ads,706,191,19.238736,123.262497,27.053824362606232,0.1007263664921466
0,Google Ads,853,213,24.373944,127.295833,24.970691676436108,0.114431661971831
1,Google Ads,473,124,11.321782,77.500004,26.215644820295985,0.0913046935483871
2,Google Ads,228,61,5.722315,37.166667,26.75438596491228,0.09380844262295082
3,Google Ads,162,31,2.640477,16.458333,19.1358024691358,0.08517667741935485
4,Google Ads,141,33,4.558123,31.333333,23.404255319148938,0.1381249393939394
5,Google Ads,173,35,5.484954,20.25,20.23121387283237,0.15671297142857143
6,Google Ads,451,100,13.831189,81.674242,22.172949002217297,0.13831189
7,Google Ads,1428,327,40.853167,256.258171,22.899159663865547,0.12493323241590214
8,Google Ads,3130,682,81.117534,444.055162,21.789137380191693,0.11894066568914957
9,Google Ads,5075,1129,133.816933,903.389658,22.24630541871921,0.11852695571302038
10,Google Ads,6832,1700,195.346036,1326.431948,24.882903981264636,0.11490943294117648
11,Google Ads,7564,2063,240.589243,1719.798976,27.27392913802221,0.11662105816771692
12,Google Ads,8440,2365,268.807931,1922.046497,28.021327014218013,0.11366085877378436
13,Google Ads,8141,2326,232.446852,1805.10604,28.57142857142857,0.09993415821152193
14,Google Ads,7407,2051,235.619825,1640.427325,27.69002295126232,0.11488046075085324
15,Google Ads,6959,1878,204.787679,1440.756477,26.98663601092111,0.10904562247071352
16,Google Ads,6500,1698,213.21454,1501.82135,26.123076923076923,0.12556804475853947
17,Google Ads,6619,1617,203.435865,1556.41869,24.42967215591479,0.1258106771799629
18,Google Ads,6091,1604,188.738501,1392.205547,26.333935314398293,0.117667394638404
19,Google Ads,4609,1102,133.015271,1001.706383,23.909741809503146,0.12070351270417425
20,Google Ads,2771,666,68.975684,627.037393,24.03464453265969,0.1035670930930931
21,Google Ads,1197,332,30.413027,234.333333,27.736006683375102,0.09160550301204819
22,Google Ads,618,172,14.098719,103.916667,27.831715210355988,0.0819692965116279
23,Google Ads,314,88,7.604436,47.8125,28.02547770700637,0.08641404545454545
0,Google Ads,471,116,6.394602,67.581729,24.628450106157114,0.05512587931034483
1,Google Ads,246,61,3.296614,35.924243,24.796747967479675,0.05404285245901639
2,Google Ads,131,41,2.534469,24.833333,31.297709923664126,0.061816317073170736
3,Google Ads,89,30,1.644603,19.344324,33.70786516853933,0.054820100000000004
4,Google Ads,64,15,0.953681,7.333334,23.4375,0.06357873333333333
5,Google Ads,105,16,1.267779,14.449999,15.238095238095239,0.0792361875
