campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,video_p25,video_p50,video_p75,video_p100,shopping
ALC - Semana do Cinema - BS JAN 25,120241101673890402,OUTCOME_AWARENESS,2026-02-10,73744,68923,1.069948,85,0.115264,1.064471,1.226947,90.48,50.0,0,1.8096,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,BS
ALC - Inauguração - Shantal,120241101729600402,OUTCOME_AWARENESS,2026-02-10,236538,137049,1.725937,240,0.101464,1.134708,1.151316,272.33,92.0,0,2.960109,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,355.0,149.0,62.0,47.0,BS
ALC - Carnaval Kids,120241264649820402,OUTCOME_AWARENESS,2026-02-10,1312667,831695,1.578303,1644,0.125241,1.016807,1.273461,1671.63,1276.0,0,1.310055,569.0,0,2.937838,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,BS
TRAF - Carnaval,120241501677080402,LINK_CLICKS,2026-02-10,288124,126604,2.275789,3839,1.332412,0.260485,3.470728,1000.0,3341.0,0,0.299312,1517.0,0,0.659196,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,BS
ALC - Ghibli Fest,120242067064510402,OUTCOME_AWARENESS,2026-02-10,112007,84777,1.321196,136,0.121421,0.965956,1.172873,131.37,75.0,0,1.7516,12.0,0,10.9475,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,BS
ALC - Moda Feminina | Verão - AON,120242067169520402,OUTCOME_AWARENESS,2026-02-10,131147,96460,1.3596,89,0.067863,1.771011,1.201857,157.62,55.0,0,2.865818,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,36.0,9.0,3.0,3.0,BS
ALC - Moda Masculina - AON,120242067335900402,OUTCOME_AWARENESS,2026-02-10,105054,75830,1.385388,83,0.079007,1.578916,1.247454,131.05,58.0,0,2.259483,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,732.0,140.0,45.0,24.0,BS
ALC - Lojas Corredor Zara,120242067408940402,OUTCOME_AWARENESS,2026-02-10,133179,69338,1.920722,134,0.100616,1.172537,1.179766,157.12,98.0,0,1.603265,2.0,0,78.56,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1598.0,674.0,268.0,140.0,BS
ALC - Ghibli Fest,120242067064510402,OUTCOME_AWARENESS,2026-03-01,61993,57927,1.070192,61,0.098398,0.985902,0.97011,60.14,32.0,0,1.879375,0.0,0,0.0,1.0,0,60.14,0,0,0,0,0,0,1.0,0,60.14,0,0,0,,,,,BS
ALC - Moda Feminina | Verão - AON,120242067169520402,OUTCOME_AWARENESS,2026-03-01,314312,198163,1.586129,229,0.072858,1.442664,1.051089,330.37,149.0,0,2.217248,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,253.0,69.0,40.0,30.0,BS
ALC - Moda Masculina - AON,120242067335900402,OUTCOME_AWARENESS,2026-03-01,246503,162453,1.51738,173,0.070182,1.60052,1.123272,276.89,101.0,0,2.741485,0.0,0,0.0,3.0,0,92.296667,0,0,0,0,0,0,23.0,0,12.038696,0,0,0,162.0,30.0,12.0,9.0,BS
ALC - Lojas Corredor Zara,120242067408940402,OUTCOME_AWARENESS,2026-03-01,416110,224976,1.849575,349,0.083872,1.253496,1.051333,437.47,233.0,0,1.877554,0.0,0,0.0,5.0,0,87.494,0,0,0,0,0,0,51.0,0,8.577843,0,0,0,3355.0,1218.0,516.0,300.0,BS
ALC - GASTRONOMIA - BS,120242410811390402,OUTCOME_AWARENESS,2026-03-01,1188141,706018,1.682876,1073,0.090309,1.409776,1.273157,1512.69,732.0,0,2.066516,0.0,0,0.0,3.0,0,504.23,0,0,0,0,0,0,93.0,0,16.265484,0,0,0,,,,,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,254947,171578,1.485896,283,0.111003,1.099293,1.220254,311.1,158.0,0,1.968987,96.0,0,3.240625,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1730.0,409.0,212.0,138.0,BS
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,478782,319361,1.499187,347,0.072476,1.634467,1.184589,567.16,197.0,0,2.878985,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3290.0,1414.0,434.0,278.0,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,840805,661015,1.271991,1084,0.128924,0.985009,1.269914,1067.75,21.0,0,50.845238,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,14955.0,5403.0,2140.0,1338.0,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,611946,314304,1.946988,923,0.15083,0.716804,1.081157,661.61,114.0,0,5.803596,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,82488.0,31093.0,16919.0,11901.0,NK
ALC - Coleção Boca Rosa Adidas,120238011056000157,OUTCOME_AWARENESS,2026-02-10,96529,66021,1.462095,90,0.093236,1.378111,1.284899,124.03,50.0,0,2.4806,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1620.0,734.0,257.0,143.0,NK
ALC - Oficinas de Carnaval no Neumarkt Shopping,120238012028540157,OUTCOME_AWARENESS,2026-02-10,87547,60242,1.453255,70,0.079957,1.321429,1.056575,92.5,39.0,0,2.371795,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,,,,,NK
ENG - Conteúdos - Fev,120238024409700157,OUTCOME_ENGAGEMENT,2026-02-10,102435,43513,2.354124,193,0.188412,2.971658,5.598965,573.53,40.0,0,14.33825,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,20287.0,10633.0,6535.0,4698.0,NK
ALC - Semana do Cinema,120238152179080157,OUTCOME_AWARENESS,2026-02-10,90548,86871,1.042327,38,0.041967,3.04,1.275787,115.52,3.0,0,38.506667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,989.0,502.0,133.0,80.0,NK
ALC- Valentine's Day,120238271108280157,OUTCOME_AWARENESS,2026-02-10,71284,56856,1.253764,79,0.110824,1.265063,1.401998,99.94,59.0,0,1.693898,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,524.0,97.0,62.0,40.0,NK
