campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,publisher_platform,platform_position,shopping,video_p25,video_p50,video_p75,video_p100
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,510,483,1.055901,0,0.0,0.0,1.504967,0.767533,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9.0,0,0.085281,0.0,0,0,9.0,0,0.085281,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_explore,CS,3.0,2.0,2.0,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,11281,9857,1.144466,6,0.053187,2.782724,1.480041,16.696342,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,307.0,0,0.054385,1.0,0,0,307.0,0,0.054385,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_reels,CS,86.0,25.0,11.0,9.0
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_search,CS,,,,
ALC Moda - Julho a Setembro 25,120228732607280087,OUTCOME_AWARENESS,2025-09-21,14316,12215,1.172002,12,0.083822,1.711167,1.43434,20.534009,8.0,0,2.566751,1.0,0,20.534009,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,291.0,0,0.070564,0.0,0,0,291.0,0,0.070564,0,0,0,0.0,0,0,0.0,0,0,,,,8.0,instagram,instagram_stories,CS,148.0,77.0,7.0,6.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,5669,3986,1.422228,6,0.105839,1.427592,1.510946,8.565551,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,455.0,0,0.018825,2.0,0,0,455.0,0,0.018825,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels,CS,31.0,11.0,8.0,2.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,48,46,1.043478,0,0.0,0.0,1.457576,0.069964,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,0.006996,0.0,0,0,10.0,0,0.006996,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels_overlay,CS,2.0,,,
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,71,61,1.163934,0,0.0,0.0,1.970807,0.139927,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4.0,0,0.034982,0.0,0,0,4.0,0,0.034982,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_stories,CS,,,,
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,2870,2327,1.233348,5,0.174216,0.741615,1.292012,3.708074,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,270.0,0,0.013734,2.0,0,0,270.0,0,0.013734,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,feed,CS,33.0,13.0,6.0,6.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,instream_video,CS,,,,
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,18203,9217,1.974938,8,0.043949,3.224575,1.417162,25.7966,7.0,0,3.685229,4.0,0,6.44915,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2550.0,0,0.010116,0.0,0,0,2550.0,0,0.010116,0,0,0,0.0,0,0,0.0,0,0,,,,7.0,facebook,marketplace,CS,262.0,80.0,47.0,32.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,971,883,1.09966,0,0.0,0.0,1.379304,1.339304,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,300.0,0,0.004464,0.0,0,0,300.0,0,0.004464,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,search,CS,23.0,8.0,4.0,3.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,12734,10490,1.213918,14,0.109942,1.285761,1.41359,18.00065,5.0,0,3.60013,2.0,0,9.000325,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1136.0,0,0.015846,0.0,0,0,1136.0,0,0.015846,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,instagram,feed,CS,122.0,33.0,20.0,14.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,809,741,1.091768,1,0.123609,1.129413,1.396061,1.129413,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,22.0,0,0.051337,0.0,0,0,22.0,0,0.051337,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_explore,CS,7.0,3.0,1.0,
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,15157,13189,1.149215,5,0.032988,4.291771,1.415772,21.458854,2.0,0,10.729427,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,667.0,0,0.032172,2.0,0,0,667.0,0,0.032172,0,0,0,0.0,0,0,0.0,0,0,,,,2.0,instagram,instagram_reels,CS,85.0,28.0,16.0,13.0
ALC Mr. Cat - Novidade!,120230466692930087,OUTCOME_AWARENESS,2025-09-21,25288,17890,1.413527,23,0.090952,1.534855,1.395985,35.301663,20.0,0,1.765083,4.0,0,8.825416,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,435.0,0,0.081153,0.0,0,0,435.0,0,0.081153,0,0,0,0.0,0,0,0.0,0,0,,,,20.0,instagram,instagram_stories,CS,132.0,2.0,1.0,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,2,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_profile_feed,CS,,,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,1004,964,1.041494,3,0.298805,0.44,1.314741,1.32,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,99.0,0,0.013333,2.0,0,0,99.0,0,0.013333,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels,CS,8.0,2.0,2.0,1.0
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,7,7,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels_overlay,CS,,,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,83,82,1.012195,0,0.0,0.0,1.204819,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.05,0.0,0,0,2.0,0,0.05,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_stories,CS,1.0,,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,1319,1319,1.0,0,0.0,0.0,1.235785,1.63,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,108.0,0,0.015093,0.0,0,0,108.0,0,0.015093,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,feed,CS,14.0,6.0,5.0,3.0
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,771,740,1.041892,0,0.0,0.0,1.245136,0.96,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,119.0,0,0.008067,0.0,0,0,119.0,0,0.008067,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,marketplace,CS,6.0,2.0,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,39,39,1.0,0,0.0,0.0,2.564103,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10.0,0,0.01,0.0,0,0,10.0,0,0.01,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,search,CS,1.0,,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,398,385,1.033766,2,0.502513,0.28,1.407035,0.56,1.0,0,0.56,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,41.0,0,0.013659,0.0,0,0,41.0,0,0.013659,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,instagram,feed,CS,7.0,5.0,3.0,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,35,35,1.0,0,0.0,0.0,0.857143,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.015,0.0,0,0,2.0,0,0.015,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,instagram,instagram_explore,CS,,,,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,709,709,1.0,3,0.423131,0.316667,1.339915,0.95,1.0,0,0.95,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,41.0,0,0.023171,0.0,0,0,41.0,0,0.023171,0,0,0,0.0,0,0,0.0,0,0,,,,1.0,instagram,instagram_reels,CS,4.0,1.0,1.0,
ALC Outback - Chef de Alto Nível NOVIDADE,120231345976010087,OUTCOME_AWARENESS,2025-09-21,1902,1865,1.019839,5,0.262881,0.486,1.277603,2.43,5.0,0,0.486,1.0,0,2.43,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,57.0,0,0.042632,0.0,0,0,57.0,0,0.042632,0,0,0,0.0,0,0,0.0,0,0,,,,5.0,instagram,instagram_stories,CS,18.0,3.0,3.0,2.0
ALC Restaurantes & PET,120231653162250087,OUTCOME_AWARENESS,2025-09-21,6512,4478,1.454221,5,0.076781,1.995974,1.532535,9.979868,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,197.0,0,0.050659,3.0,0,0,197.0,0,0.050659,0,0,0,0.0,0,0,0.0,0,0,,,,0.0,facebook,facebook_reels,CS,30.0,12.0,7.0,6.0
