campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,age,shopping
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,79386,52278,1.518536,85,0.107072,1.153096,1.23464,98.01315,67.0,0,1.462883,35.0,0,2.800376,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2035.0,0,0.048164,8.0,0,0,2035.0,0,0.048164,0,0,0,0.0,0,0,0.0,0,0,464.0,89.0,45.0,30.0,,,,67.0,18-24,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,81356,56370,1.44325,76,0.093417,1.297147,1.21175,98.583169,57.0,0,1.729529,37.0,0,2.66441,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2472.0,0,0.03988,6.0,0,0,2472.0,0,0.03988,0,0,0,0.0,0,0,0.0,0,0,500.0,119.0,68.0,46.0,,,,56.0,25-34,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,37967,25257,1.503227,37,0.097453,1.251662,1.219783,46.311489,18.0,0,2.57286,12.0,0,3.859291,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1835.0,0,0.025238,3.0,0,0,1835.0,0,0.025238,0,0,0,0.0,0,0,0.0,0,0,317.0,81.0,42.0,23.0,,,,18.0,35-44,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,24794,17019,1.456842,32,0.129063,0.920342,1.187826,29.450947,10.0,0,2.945095,9.0,0,3.272327,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1503.0,0,0.019595,3.0,0,0,1503.0,0,0.019595,0,0,0,0.0,0,0,0.0,0,0,205.0,51.0,28.0,19.0,,,,10.0,45-54,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,19587,12720,1.539858,31,0.158268,0.773251,1.22381,23.97077,5.0,0,4.794154,1.0,0,23.97077,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1280.0,0,0.018727,10.0,0,0,1280.0,0,0.018727,0,0,0,0.0,0,0,0.0,0,0,157.0,44.0,21.0,15.0,,,,5.0,55-64,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,11881,7714,1.540187,22,0.18517,0.672294,1.244885,14.790475,1.0,0,14.790475,2.0,0,7.395238,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,846.0,0,0.017483,3.0,0,0,846.0,0,0.017483,0,0,0,0.0,0,0,0.0,0,0,87.0,25.0,8.0,5.0,,,,1.0,65+,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,Unknown,BS
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,179364,118411,1.514758,124,0.069133,1.726371,1.193495,214.07,74.0,0,2.892838,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4771.0,0,0.044869,34.0,0,0,4771.0,0,0.044869,0,0,0,0.0,0,0,0.0,0,0,1122.0,529.0,145.0,86.0,,,,0.0,18-24,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,181197,122289,1.481711,126,0.069538,1.687857,1.173695,212.67,74.0,0,2.873919,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5376.0,0,0.039559,19.0,0,0,5376.0,0,0.039559,0,0,0,0.0,0,0,0.0,0,0,1180.0,519.0,148.0,98.0,,,,1.0,25-34,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,66392,46301,1.433922,52,0.078323,1.508269,1.181317,78.43,30.0,0,2.614333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2700.0,0,0.029048,14.0,0,0,2700.0,0,0.029048,0,0,0,0.0,0,0,0.0,0,0,502.0,207.0,73.0,45.0,,,,0.0,35-44,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,28889,20715,1.394593,21,0.072692,1.661905,1.208072,34.9,12.0,0,2.908333,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1552.0,0,0.022487,2.0,0,0,1552.0,0,0.022487,0,0,0,0.0,0,0,0.0,0,0,233.0,76.0,30.0,24.0,,,,0.0,45-54,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,15467,10733,1.44107,17,0.109911,1.077059,1.183811,18.31,6.0,0,3.051667,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1290.0,0,0.014194,3.0,0,0,1290.0,0,0.014194,0,0,0,0.0,0,0,0.0,0,0,150.0,50.0,26.0,16.0,,,,0.0,55-64,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,7445,5293,1.406575,7,0.094023,1.25,1.175285,8.75,1.0,0,8.75,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,704.0,0,0.012429,1.0,0,0,704.0,0,0.012429,0,0,0,0.0,0,0,0.0,0,0,103.0,33.0,12.0,9.0,,,,0.0,65+,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,28,28,1.0,0,0.0,0.0,1.071429,0.03,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.015,0.0,0,0,2.0,0,0.015,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,Unknown,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,239683,181443,1.320982,211,0.088033,1.442762,1.270106,304.422851,6.0,0,50.737142,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9751.0,0,0.03122,88.0,0,0,9751.0,0,0.03122,0,0,0,0.0,0,0,0.0,0,0,3175.0,1325.0,451.0,281.0,,,,5.0,18-24,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,293685,229457,1.279913,333,0.113387,1.116887,1.266403,371.923483,6.0,0,61.987247,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,15195.0,0,0.024477,67.0,0,0,15196.0,0,0.024475,0,0,0,0.0,0,0,0.0,0,0,4668.0,1863.0,690.0,432.0,,,,2.0,25-34,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,139080,107050,1.299206,216,0.155306,0.814869,1.265542,176.011648,4.0,0,44.002912,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,10688.0,0,0.016468,34.0,0,0,10688.0,0,0.016468,0,0,0,0.0,0,0,0.0,0,0,3107.0,1056.0,483.0,314.0,,,,2.0,35-44,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,81734,62773,1.302057,126,0.154159,0.822944,1.268639,103.690971,3.0,0,34.563657,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,7279.0,0,0.014245,17.0,0,0,7279.0,0,0.014245,0,0,0,0.0,0,0,0.0,0,0,1920.0,580.0,260.0,162.0,,,,1.0,45-54,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,56092,42636,1.315602,112,0.199672,0.645274,1.288431,72.270677,2.0,0,36.135338,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5227.0,0,0.013826,24.0,0,0,5227.0,0,0.013826,0,0,0,0.0,0,0,0.0,0,0,1355.0,377.0,167.0,96.0,,,,0.0,55-64,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,30472,23373,1.303727,86,0.282226,0.457795,1.292018,39.370369,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3161.0,0,0.012455,25.0,0,0,3161.0,0,0.012455,0,0,0,0.0,0,0,0.0,0,0,730.0,202.0,89.0,53.0,,,,0.0,65+,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,59,59,1.0,0,0.0,0.0,1.016959,0.060001,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,2.0,0,0.03,0.0,0,0,2.0,0,0.03,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,Unknown,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,100967,52827,1.911276,107,0.105975,1.044689,1.107111,111.78169,34.0,0,3.287697,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4289.0,0,0.026062,41.0,0,0,4289.0,0,0.026062,0,0,0,0.0,0,0,0.0,0,0,10945.0,4375.0,2172.0,1560.0,,,,33.0,18-24,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,149721,79780,1.876673,200,0.133582,0.805912,1.076552,161.182436,40.0,0,4.029561,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,6181.0,0,0.026077,31.0,0,0,6182.0,0,0.026073,0,0,0,0.0,0,0,0.0,0,0,15939.0,6353.0,3426.0,2415.0,,,,40.0,25-34,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,104033,54263,1.9172,130,0.12496,0.855167,1.068619,111.17168,13.0,0,8.551668,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4649.0,0,0.023913,29.0,0,0,4649.0,0,0.023913,0,0,0,0.0,0,0,0.0,0,0,12205.0,4796.0,2698.0,1879.0,,,,12.0,35-44,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,97710,50802,1.923349,118,0.120766,0.894929,1.080765,105.601596,10.0,0,10.56016,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5011.0,0,0.021074,35.0,0,0,5011.0,0,0.021074,0,0,0,0.0,0,0,0.0,0,0,13860.0,5183.0,2998.0,2130.0,,,,7.0,45-54,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,95782,43751,2.189253,216,0.225512,0.479915,1.082266,103.661567,13.0,0,7.973967,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,5563.0,0,0.018634,70.0,0,0,5563.0,0,0.018634,0,0,0,0.0,0,0,0.0,0,0,16519.0,5725.0,3101.0,2178.0,,,,12.0,55-64,NK
ALC - Cinema - AON,120237502551570157,OUTCOME_AWARENESS,2026-02-10,63719,29373,2.169305,152,0.238547,0.448691,1.070341,68.201031,4.0,0,17.050258,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,4511.0,0,0.015119,47.0,0,0,4511.0,0,0.015119,0,0,0,0.0,0,0,0.0,0,0,13020.0,4661.0,2524.0,1739.0,,,,3.0,65+,NK
