campanha,campanha_id,objetivo,data,impressoes,alcance,frequencia,cliques,ctr,cpc,cpm,custo,link_click,valor_link_click,custo_link_click,landing_page_view,valor_landing_page_view,custo_landing_page_view,lead,valor_lead,custo_lead,purchase,valor_purchase,custo_purchase,add_to_cart,valor_add_to_cart,custo_add_to_cart,initiate_checkout,valor_initiate_checkout,custo_initiate_checkout,complete_registration,valor_complete_registration,custo_complete_registration,post_engagement,valor_post_engagement,custo_post_engagement,post_reaction,valor_post_reaction,custo_post_reaction,page_engagement,valor_page_engagement,custo_page_engagement,offsite_conversion.fb_pixel_purchase,valor_offsite_conversion.fb_pixel_purchase,custo_offsite_conversion.fb_pixel_purchase,offsite_conversion.fb_pixel_lead,valor_offsite_conversion.fb_pixel_lead,custo_offsite_conversion.fb_pixel_lead,offsite_conversion.fb_pixel_view_content,valor_offsite_conversion.fb_pixel_view_content,custo_offsite_conversion.fb_pixel_view_content,video_p25,video_p50,video_p75,video_p100,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,outbound_clicks,device_platform,shopping
ALC - Moda Masculina - AON,120242067335900402,OUTCOME_AWARENESS,2026-03-01,439,285,1.540351,0,0.0,0.0,1.093473,0.480035,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,mobile_web,BS
ALC - Lojas Corredor Zara,120242067408940402,OUTCOME_AWARENESS,2026-03-01,28,25,1.12,0,0.0,0.0,1.785755,0.050001,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,desktop,BS
ALC - Lojas Corredor Zara,120242067408940402,OUTCOME_AWARENESS,2026-03-01,416038,224976,1.849255,349,0.083887,1.253238,1.051298,437.379998,233.0,0,1.877167,0.0,0,0.0,5.0,0,87.476,0,0,0,0,0,0,51.0,0,8.576078,0,0,0,19417.0,0,0.022526,54.0,0,0,19417.0,0,0.022526,0,0,0,5.0,0,0,208.0,0,0,3356.0,1218.0,516.0,300.0,,,,2.0,mobile_app,BS
ALC - Lojas Corredor Zara,120242067408940402,OUTCOME_AWARENESS,2026-03-01,45,41,1.097561,0,0.0,0.0,0.888909,0.040001,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,mobile_web,BS
ALC - GASTRONOMIA - BS,120242410811390402,OUTCOME_AWARENESS,2026-03-01,2528,1737,1.455383,0,0.0,0.0,1.356804,3.43,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,3.0,0,1.143333,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,15.0,0,0,,,,,,,,0.0,desktop,BS
ALC - GASTRONOMIA - BS,120242410811390402,OUTCOME_AWARENESS,2026-03-01,1184450,705375,1.679178,1068,0.090168,1.411713,1.27292,1507.71,732.0,0,2.059713,0.0,0,0.0,3.0,0,502.57,0,0,0,0,0,0,90.0,0,16.752333,0,0,0,851.0,0,1.771692,110.0,0,0,851.0,0,1.771692,0,0,0,3.0,0,0,512.0,0,0,,,,,,,,170.0,mobile_app,BS
ALC - GASTRONOMIA - BS,120242410811390402,OUTCOME_AWARENESS,2026-03-01,1228,887,1.384442,5,0.407166,0.328,1.335505,1.64,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,1.64,1.0,0,0,1.0,0,1.64,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,0.0,mobile_web,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,1175,953,1.232949,0,0.0,0.0,1.259615,1.480048,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,109.0,0,0.013578,0.0,0,0,109.0,0,0.013578,0,0,0,0.0,0,0,0.0,0,0,17.0,8.0,6.0,4.0,,,,0.0,desktop,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,253195,170996,1.480707,283,0.111772,1.091767,1.220284,308.969931,158.0,0,1.955506,96.0,0,3.218437,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,9832.0,0,0.031425,33.0,0,0,9832.0,0,0.031425,0,0,0,0.0,0,0,0.0,0,0,1710.0,400.0,205.0,133.0,,,,157.0,mobile_app,BS
ALC - UNIZUSHI + DULADU,120242554636430402,OUTCOME_AWARENESS,2026-03-01,600,488,1.229508,0,0.0,0.0,1.116703,0.670022,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,30.0,0,0.022334,0.0,0,0,30.0,0,0.022334,0,0,0,0.0,0,0,0.0,0,0,3.0,1.0,1.0,1.0,,,,0.0,mobile_web,BS
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,522,478,1.09205,0,0.0,0.0,1.015326,0.53,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,59.0,0,0.008983,0.0,0,0,59.0,0,0.008983,0,0,0,0.0,0,0,0.0,0,0,27.0,9.0,6.0,3.0,,,,0.0,desktop,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,478039,319036,1.498386,347,0.072588,1.632421,1.184945,566.45,197.0,0,2.875381,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16320.0,0,0.034709,73.0,0,0,16320.0,0,0.034709,0,0,0,0.0,0,0,0.0,0,0,3259.0,1404.0,428.0,275.0,,,,1.0,mobile_app,NK
ALC - Gastronomia — AON,120217368581940157,OUTCOME_AWARENESS,2026-02-10,221,207,1.067633,0,0.0,0.0,0.81448,0.18,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,16.0,0,0.01125,0.0,0,0,16.0,0,0.01125,0,0,0,0.0,0,0,0.0,0,0,4.0,1.0,,,,,,0.0,mobile_web,NK
ALC - Arena Super Games,120236945555570157,OUTCOME_AWARENESS,2026-02-10,6231,5445,1.144353,8,0.12839,0.971259,1.247003,7.770073,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,992.0,0,0.007833,0.0,0,0,992.0,0,0.007833,0,0,0,0.0,0,0,0.0,0,0,369.0,148.0,99.0,80.0,,,,0.0,desktop,NK
