shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,0,TUESDAY,39,2,0.05128205128205128,11.41,0.0,0.0
GERAL,GERAL,0,TUESDAY,1020,6,0.0058823529411764705,3.569243,1.0,0.0
GERAL,GERAL,0,TUESDAY,414,1,0.0024154589371980675,1.448057,1.0,0.0
GERAL,GERAL,0,TUESDAY,912,1,0.0010964912280701754,3.921752,5.0,0.0
GERAL,GERAL,0,TUESDAY,19,1,0.05263157894736842,0.830662,0.0,0.0
GERAL,GERAL,0,TUESDAY,15,1,0.06666666666666667,0.523753,0.0,0.0
GERAL,GERAL,0,TUESDAY,624,0,0.0,2.361011,2.0,0.0
GERAL,GERAL,0,TUESDAY,19,2,0.10526315789473684,0.115665,0.0,0.0
GERAL,GERAL,0,TUESDAY,23,4,0.17391304347826086,3.456508,0.698396,0.0
GERAL,GERAL,0,TUESDAY,494,6,0.012145748987854251,1.792992,25.0,0.0
GERAL,GERAL,0,TUESDAY,1031,5,0.004849660523763337,3.038401,2.0,0.0
GERAL,GERAL,0,TUESDAY,3381,7,0.002070393374741201,11.705186,7.0,0.0
GERAL,GERAL,0,TUESDAY,150,6,0.04,2.044074,5.0,0.0
GERAL,GERAL,0,TUESDAY,984,3,0.003048780487804878,3.531877,0.0,0.0
GERAL,GERAL,0,TUESDAY,1609,2,0.001243008079552517,4.536683,32.0,0.0
GERAL,GERAL,0,TUESDAY,2451,2,0.0008159934720522236,5.63201,31.0,0.0
GERAL,GERAL,0,TUESDAY,18386,12,0.0006526705101707821,15.852353,1.0,0.0
GERAL,GERAL,0,TUESDAY,18619,19,0.0010204629679359794,16.498839,0.0,0.0
GERAL,GERAL,0,TUESDAY,20468,14,0.0006839945280437756,17.576961,0.0,0.0
GERAL,GERAL,0,TUESDAY,18814,26,0.0013819496119910704,16.236865,0.0,0.0
GERAL,GERAL,0,TUESDAY,3970,2,0.0005037783375314861,11.555829,85.0,0.0
GERAL,GERAL,0,TUESDAY,16774,15,0.0008942410873971623,15.146858,1.0,0.0
GERAL,GERAL,0,TUESDAY,1417,3,0.002117148906139732,3.49366,29.0,0.0
GERAL,GERAL,0,TUESDAY,1660,1,0.0006024096385542169,3.627974,17.0,0.0
GERAL,GERAL,0,TUESDAY,885,1,0.0011299435028248588,2.169439,11.0,0.0
GERAL,GERAL,0,TUESDAY,17575,10,0.0005689900426742532,15.443379,0.0,0.0
GERAL,GERAL,0,TUESDAY,622,17,0.027331189710610933,0.919968,1.0,0.0
GERAL,GERAL,0,TUESDAY,1097,46,0.041932543299908843,2.080069,2.0,0.0
GERAL,GERAL,0,TUESDAY,18,0,0.0,0.028326,0.0,0.0
GERAL,GERAL,0,TUESDAY,56,1,0.017857142857142856,0.068846,0.0,0.0
GERAL,GERAL,0,TUESDAY,1457,56,0.038435140700068635,2.718865,1.0,0.0
GERAL,GERAL,0,TUESDAY,9,1,0.1111111111111111,1.82,1.0,0.0
GERAL,GERAL,0,TUESDAY,1,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,4,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,4,0,0.0,0.0,0.0,0.0
GERAL,GERAL,0,TUESDAY,10,2,0.2,6.664326,2.0,0.0
GERAL,GERAL,0,TUESDAY,115,6,0.05217391304347826,2.82953,0.0,0.0
GERAL,GERAL,0,TUESDAY,472,9,0.019067796610169493,2.918679,0.0,0.0
GERAL,GERAL,0,TUESDAY,87,1,0.011494252873563218,0.305416,0.0,0.0
GERAL,GERAL,0,TUESDAY,77,4,0.05194805194805195,2.645113,0.0,0.0
GERAL,GERAL,0,TUESDAY,17,1,0.058823529411764705,2.410628,0.0,0.0
GERAL,GERAL,0,TUESDAY,72,1,0.013888888888888888,0.393798,0.0,0.0
GERAL,GERAL,0,TUESDAY,45,1,0.022222222222222223,0.491773,1.0,0.0
GERAL,GERAL,0,TUESDAY,158,0,0.0,0.37643,0.0,0.0
GERAL,GERAL,0,TUESDAY,3749,0,0.0,5.227523,4.0,0.0
GERAL,GERAL,0,TUESDAY,1048,1,0.0009541984732824427,2.326396,6.0,0.0
GERAL,GERAL,0,TUESDAY,359,0,0.0,1.072275,8.0,0.0
GERAL,GERAL,0,TUESDAY,1850,1,0.0005405405405405405,3.959079,32.0,0.0
GERAL,GERAL,0,TUESDAY,70,0,0.0,0.452391,3.0,0.0
GERAL,GERAL,0,TUESDAY,9,0,0.0,0.046849,0.0,0.0
GERAL,GERAL,0,TUESDAY,3,0,0.0,0.007566,0.0,0.0
GERAL,GERAL,0,TUESDAY,228,1,0.0043859649122807015,0.807129,1.0,0.0
GERAL,GERAL,0,TUESDAY,17,2,0.11764705882352941,1.420507,1.0,0.0
GERAL,GERAL,0,TUESDAY,3037,58,0.019097793875535066,24.532343,1.0,0.0
GERAL,GERAL,0,TUESDAY,1646,40,0.024301336573511544,15.440908,5.0,0.0
GERAL,GERAL,0,TUESDAY,1042,28,0.026871401151631478,3.461443,0.0,0.0
GERAL,GERAL,0,TUESDAY,1195,30,0.02510460251046025,12.797814,13.0,2.0
GERAL,GERAL,0,TUESDAY,242,6,0.024793388429752067,0.623242,1.0,0.0
GERAL,GERAL,0,TUESDAY,488,7,0.014344262295081968,1.940972,0.0,0.0
GERAL,GERAL,0,TUESDAY,275,0,0.0,0.539697,1.0,0.0
GERAL,GERAL,0,TUESDAY,39,6,0.15384615384615385,2.07,5.833334,0.0
GERAL,GERAL,0,TUESDAY,12,1,0.08333333333333333,0.34,3.0,0.0
GERAL,GERAL,0,TUESDAY,403,20,0.04962779156327544,4.208553,0.0,0.0
GERAL,GERAL,0,TUESDAY,1383,28,0.02024584237165582,10.148088,25.0,1.0
GERAL,GERAL,0,TUESDAY,287,9,0.0313588850174216,1.303279,1.0,0.0
GERAL,GERAL,0,TUESDAY,533,11,0.020637898686679174,4.450261,6.0,1.0
GERAL,GERAL,0,TUESDAY,17,2,0.11764705882352941,1.11,1.0,0.0
