shopping,shopping_sigla,campanha,audiencia,data,impressoes,cliques,custo,conversoes,valor_conversoes
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-25,22,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-25,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-25,13,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-25,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-25,20,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-25,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-25,6,1,2.5,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-25,11,2,3.77,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),47984193746,2025-05-25,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-25,5,1,8.74,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-25,7,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-25,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-25,2,1,0.85,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-25,5,1,0.28,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-25,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),369713565815,2025-05-25,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),2454117862687,2025-05-25,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-25,32,1,2.55915,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-25,4,1,4.14,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-25,24,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-25,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-25,24,1,4.06,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-25,32,1,5.57,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-25,24,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-25,18,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-25,26,1,2.21,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565735,2025-05-25,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-25,13,1,3.61,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-26,39,2,3.87,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-26,3,1,3.29,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-26,7,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-26,12,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-26,23,2,6.18,0.142858,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-26,32,1,1.208296,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-26,25,3,9.858826,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-26,22,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-26,17,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565735,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-26,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),2454117862687,2025-05-26,4,2,7.91,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-26,2,1,23.25,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-26,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-26,4,1,0.833976,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-26,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-26,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-26,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-26,5,1,1.31,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-26,6,1,0.01,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-26,42,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-26,7,2,6.07,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-26,20,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256463,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-26,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-26,46,2,6.21,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-26,35,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-26,28,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-26,23,3,8.09,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-26,37,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-26,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-27,26,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-27,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-27,10,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-27,9,1,2.31,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-27,25,1,1.23,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-27,31,4,10.23179,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-27,22,3,7.84321,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-27,18,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-27,15,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-27,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-27,37,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-27,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-27,18,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-27,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-27,45,3,11.88,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565735,2025-05-27,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-27,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-27,18,1,6.72,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-27,8,1,0.01,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-27,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-27,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-27,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-27,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-27,8,1,4.247317,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-27,4,1,0.03,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-27,15,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-27,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-27,5,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-27,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-27,28,3,14.97,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-27,19,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-27,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-27,14,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-27,24,1,4.43,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-27,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-28,18,2,19.39,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-28,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-28,7,1,1.168426,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-28,6,1,3.94,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-28,10,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-28,11,1,4.44,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-28,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-28,7,1,1.39,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-28,10,1,0.2,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-28,5,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-28,22,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-28,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-28,12,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-28,10,1,5.667057,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),84329961407,2025-05-28,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-28,16,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565735,2025-05-28,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-28,6,1,1.98,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-28,11,1,3.71,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-28,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-28,9,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-28,8,1,0.01,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-28,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-28,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-28,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-28,9,1,1.35,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-28,56,1,4.42,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-28,17,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-28,44,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256463,2025-05-28,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-28,5,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-28,50,1,0.11,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-28,38,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-28,51,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-28,53,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-28,48,1,0.13,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565735,2025-05-28,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-28,24,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565975,2025-05-28,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),2454117862687,2025-05-28,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-29,16,1,11.51,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-29,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-29,8,4,10.13,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-29,8,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-29,5,1,3.17,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-29,15,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-29,12,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-29,17,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-29,17,1,0.88,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565735,2025-05-29,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),2454117862687,2025-05-29,3,1,8.16,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-29,22,2,10.923042,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-29,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-29,7,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-29,9,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),84329961407,2025-05-29,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-29,19,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-29,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-29,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),2454117862687,2025-05-29,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-29,13,1,5.106863,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-29,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),92281256703,2025-05-29,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-29,5,2,22.18,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-29,7,3,3.75,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-29,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-29,6,2,3.88,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-29,7,1,6.61,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-29,47,1,7.26,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-29,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-29,25,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-29,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-29,29,2,16.02,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-29,26,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-29,27,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-29,26,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-29,29,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565735,2025-05-29,3,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-29,10,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-30,17,2,3.18,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-30,17,1,1.941162,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-30,12,2,2.51,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-30,21,2,2.7,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-30,18,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-30,10,1,3.75,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-30,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-30,18,2,13.12,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-30,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),2454117862687,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-30,37,1,4.81,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-30,4,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-30,24,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-30,18,1,8.47,1.0,0.0
GERAL,GERAL,Search (Franquias - NR),84329961407,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),326804463039,2025-05-30,39,1,2.89,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565735,2025-05-30,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),369713565815,2025-05-30,7,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),374556130747,2025-05-30,21,1,5.59,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),2454117862687,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),45786871609,2025-05-30,15,1,2.3,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),47984193746,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),51668104495,2025-05-30,9,3,18.52,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),92281256703,2025-05-30,3,2,1.94,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),103997905950,2025-05-30,12,1,0.53,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072040,2025-05-30,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),334585072960,2025-05-30,7,1,4.32,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),344031553889,2025-05-30,9,1,10.38,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),345911565263,2025-05-30,25,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),369713565815,2025-05-30,3,1,4.09,0.0,0.0
GERAL,GERAL,Search (Franquias - CS),369713565975,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),45786871609,2025-05-30,15,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),47984193746,2025-05-30,3,1,13.22326,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),51668104495,2025-05-30,12,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),92281256703,2025-05-30,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),103997905950,2025-05-30,17,1,2.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072040,2025-05-30,11,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),334585072960,2025-05-30,17,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),344031553889,2025-05-30,19,1,2.45,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),345911565263,2025-05-30,26,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565735,2025-05-30,2,1,2.37,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565815,2025-05-30,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - GS),369713565975,2025-05-30,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),45786871609,2025-05-31,37,5,10.252742,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),47984193746,2025-05-31,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),51668104495,2025-05-31,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),56976936698,2025-05-31,6,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),103997905950,2025-05-31,14,1,1.76,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),326804463039,2025-05-31,20,3,4.18,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),334585072960,2025-05-31,19,2,5.16,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),344031553889,2025-05-31,10,1,1.930466,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),345911565263,2025-05-31,13,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NK),369713565815,2025-05-31,2,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),45786871609,2025-05-31,40,2,17.07,1.0,0.0
GERAL,GERAL,Search (Franquias - NR),47984193746,2025-05-31,1,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),56976936698,2025-05-31,12,0,0.0,0.0,0.0
GERAL,GERAL,Search (Franquias - NR),75957715300,2025-05-31,8,0,0.0,0.0,0.0
