shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2025-07-21,973090,11408,0.011723478814909207,0.30088873036465635,3432.538636,6199.139759,5.00066,0.0014568401204734464,0.5537120906197657,0.20168027564072308
GERAL,GERAL,2025-07-22,664565,11121,0.01673425473806174,0.209350715583131,2328.189308,5730.071291,8.0,0.003436146696710111,0.4063107053583777,0.2052160953800298
GERAL,GERAL,2025-07-23,558029,9378,0.01680557820471696,0.17915418884623585,1680.107983,6008.777519,7.0,0.004166398868899368,0.2796089516856682,0.21203944463523525
GERAL,GERAL,2025-07-24,573631,9923,0.017298576959752874,0.16407095172830796,1628.076054,6725.645408,3.0,0.0018426657603797666,0.24206986173601142,0.20599739243807041
GERAL,GERAL,2025-07-25,557361,9959,0.017868132144157917,0.16187845787729693,1612.147562,7096.969177,2.0,0.0012405812266458025,0.227160006164981,0.21972703091614704
GERAL,GERAL,2025-07-26,572956,10539,0.01839408261716432,0.15371473099914604,1619.99955,6767.744924,5.0,0.0030864206104254783,0.23937065716751593,0.22691914477485886
GERAL,GERAL,2025-07-27,583918,10214,0.01749218212146226,0.1538142266496965,1571.058511,5732.052224,6.0,0.003819081185067333,0.2740830769862853,0.19590394848633905
GERAL,GERAL,2025-07-28,539847,8468,0.0156859258271325,0.16821633526216342,1424.455927,4934.713437,13.0,0.009126291486868866,0.2886603133465802,0.23630224260958205
GERAL,GERAL,2025-07-29,508940,8266,0.016241600188627345,0.1543100734333414,1275.527067,4432.024378,4.010752,0.003144387997530436,0.28779784545670656,0.2169637369391518
GERAL,GERAL,2025-07-30,388276,5280,0.01359857421009797,0.21860497840909093,1154.234286,4725.501315,2.0,0.0017327504686513876,0.24425647334731512,0.2287354216278928
GERAL,GERAL,2025-07-31,380209,5355,0.014084358865781715,0.18774827693744164,1005.392023,4626.435726,7.0,0.006962458264899124,0.21731459865525,0.21734503857408885
GERAL,GERAL,2025-08-01,319155,3888,0.012182168538797764,0.2496632572016461,970.690744,4483.490408,3.0,0.003090582678925802,0.21650336136951986,0.19938564646746718
GERAL,GERAL,2025-08-02,288172,3744,0.012992240745110559,0.2619469903846154,980.729532,5398.555115,2.998024,0.003056932520310809,0.18166518838994938,0.18562960821165245
GERAL,GERAL,2025-08-03,289123,3729,0.01289762488629407,0.25092398498256907,935.69554,4388.009539,7.0,0.007481065903124856,0.21323917636998557,0.2164024810475534
GERAL,GERAL,2025-08-04,415556,3045,0.007327532270018962,0.4979268095238095,1516.187135,4727.833465,3.0,0.001978647576375854,0.3206938540082439,0.22752518729010593
GERAL,GERAL,2025-08-05,535247,3549,0.006630583637087176,0.6095915863623557,2163.44054,6330.5153,4.001994,0.0018498285143533455,0.3417479363804713,0.2232693709011416
GERAL,GERAL,2025-08-06,387923,3767,0.009710690008068611,0.568223773559862,2140.498955,4726.374407,1.0,0.00046718079336787154,0.4528839170739018,0.22541155001330646
GERAL,GERAL,2025-08-07,423904,3946,0.009308711406356156,0.6658340141915864,2627.38102,5737.537748,7.998006,0.0030440982632964292,0.45792831967264297,0.21782279169357305
GERAL,GERAL,2025-08-08,478027,6005,0.012562051934304966,0.5199757352206494,3122.45429,7355.346361,5.989248,0.001918121914284292,0.42451492244554007,0.20857206875580167
GERAL,GERAL,2025-08-09,530077,6749,0.012732112504409736,0.47027799318417546,3173.906176,8648.669711,5.0,0.0015753458743702953,0.3669820078761012,0.21579162529930504
GERAL,GERAL,2025-08-10,491265,6872,0.013988376945233224,0.363985417927823,2501.307792,6127.992755,7.0,0.0027985360387827074,0.4081773415869517,0.0999
GERAL,GERAL,2025-08-11,447365,5373,0.01201032713779576,0.38330559892052857,2059.500983,4825.51473,7.0,0.003398881601796254,0.4267940516679347,0.21752467324619898
GERAL,GERAL,2025-08-12,480324,5557,0.011569274073333833,0.36539460968148285,2030.497846,4674.757028,3.0,0.0014774701711257072,0.43435366455156865,0.24163364827796405
GERAL,GERAL,2025-08-13,468531,3982,0.00849890402129208,0.5233285590155701,2083.894322,4847.112984,4.0,0.0019194831320241967,0.4299248498804954,0.24143886605919837
GERAL,GERAL,2025-08-14,475190,4959,0.010435825669732108,0.45879690239967735,2275.173839,5122.951995,8.0,0.0035162148328482076,0.4441138314824283,0.23276439089692103
GERAL,GERAL,2025-08-15,761706,6560,0.008612246719863045,0.29505889283536585,1935.586337,5662.571565,15.0,0.007749589730649147,0.3418210816025245,0.2193218764514631
GERAL,GERAL,2025-08-16,870503,9527,0.01094424717663236,0.22169994646793326,2112.13539,6067.231033,16.0,0.00757527196208762,0.34812180029274975,0.22381896266930953
GERAL,GERAL,2025-08-17,809035,8384,0.0103629632834179,0.22585492557251907,1893.567696,4909.613002,11.0,0.005809140081570128,0.3856857343396778,0.2287639745063212
GERAL,GERAL,2025-08-18,771169,6840,0.008869651140022486,0.2819328788011696,1928.420891,4275.001792,10.0,0.005185589954283481,0.4510924169923716,0.2126514131897712
GERAL,GERAL,2025-08-19,722157,6293,0.008714171572109667,0.28560085491816306,1797.28618,4198.391358,9.0,0.005007549771511624,0.4280892434135008,0.20230640461280922
GERAL,GERAL,2025-08-20,790113,6728,0.008515237693848855,0.3018125975029726,2030.595156,5094.680856,3.0,0.0014773993679319107,0.3985716109397845,0.195811209439528
GERAL,GERAL,2025-08-21,730426,6612,0.009052251699693056,0.2677170583787054,1770.14519,4807.050918,14.0,0.0079089557619847,0.3682393259808612,0.2009910188912976
GERAL,GERAL,2025-08-22,737420,7186,0.009744785875077974,0.2636379393264682,1894.502232,5330.38609,13.0,0.006861960772817923,0.35541557403396273,0.20372992237465215
GERAL,GERAL,2025-08-23,750414,8454,0.011265781288728622,0.2220286327182399,1877.030061,5921.146362,21.0,0.011187886883821196,0.3170045032235938,0.21951965065502183
GERAL,GERAL,2025-08-24,776677,9016,0.011608429244074434,0.1871454416592724,1687.303302,4689.928065,22.0,0.013038556834401312,0.3597716806345088,0.213171074961712
GERAL,GERAL,2025-08-25,720948,6894,0.009562409494166015,0.27465470568610384,1893.469541,4457.452648,14.0,0.007393834279798431,0.4247873596255867,0.18389910550586144
GERAL,GERAL,2025-08-26,707461,7043,0.00995531909179446,0.2522659101235269,1776.708805,4073.439619,15.0,0.008442576497503202,0.4361691767107055,0.19055558279801893
GERAL,GERAL,2025-08-27,704256,6997,0.009935307615412578,0.23272361154780621,1628.36711,4380.921896,8.0,0.004912897067787129,0.3716950789482872,0.18586462470824291
GERAL,GERAL,2025-08-28,677434,6930,0.010229778841924084,0.19280228845598846,1336.119859,4806.696345,16.0,0.011974973571588835,0.2779705151106232,0.1838101505942472
GERAL,GERAL,2025-08-29,810282,7862,0.009702794829454436,0.24087637980157722,1893.770098,7703.453485,32.0,0.016897510438988884,0.2458339109449429,0.23804120904057366
GERAL,GERAL,2025-08-30,893104,9260,0.010368333363191744,0.2555897950323974,2366.761502,10700.744649,40.0,0.0169007312169809,0.22117727126786238,0.25551358596320217
GERAL,GERAL,2025-08-31,734472,7918,0.010780533498894443,0.229490785299318,1817.108038,5785.90485,23.0,0.01265747524033571,0.3140577118201313,0.2751624883936862
GERAL,GERAL,2025-09-01,1019006,9280,0.009106913992655587,0.2847013582974138,2642.028605,6443.060728,27.0,0.010219420012676207,0.41005800139650644,0.2475644699140401
GERAL,GERAL,2025-09-02,1011419,7962,0.007872108394246104,0.3288389554132128,2618.215763,7630.70057,31.0,0.0118401242701555,0.34311604013050667,0.2637825130810647
GERAL,GERAL,2025-09-03,988680,7710,0.007798276489865275,0.3617487793774319,2789.083089,7819.86567,31.0,0.011114763888627916,0.35666636828558207,0.2771685795963647
GERAL,GERAL,2025-09-04,869371,7587,0.008726999175265796,0.2809315456702254,2131.427637,7305.14255,30.0,0.0140750731947087,0.2917708480582627,0.24104614359486923
GERAL,GERAL,2025-09-05,703154,6581,0.00935925842703021,0.27238416714784985,1792.560204,7443.400343,26.0,0.01450439429704086,0.24082544554865684,0.2570523891767415
GERAL,GERAL,2025-09-06,631651,5468,0.008656679083861182,0.26647661741038775,1457.094144,8901.719905,30.0,0.020588923593944524,0.1636868110376699,0.24667869443988846
GERAL,GERAL,2025-09-07,610629,5002,0.008191553299957912,0.25427775889644144,1271.89735,6736.984934,28.0,0.0220143551678915,0.1887932602581652,0.2701040512032038
GERAL,GERAL,2025-09-08,223520,2708,0.012115246957766643,0.1844791144756278,499.569442,3468.077735,17.0,0.03402930317743494,0.14404793668790125,0.3116116698528801
GERAL,GERAL,2025-09-09,165824,2580,0.01555866460825936,0.15993272558139535,412.626432,3590.573829,11.0,0.02665849578923727,0.11491935597239046,0.30779085595323885
GERAL,GERAL,2025-09-10,187912,2400,0.012771935799736046,0.2119367975,508.648314,3992.453516,7.0,0.013761964420863094,0.12740243861614445,0.27418237783762983
GERAL,GERAL,2025-09-11,179378,2553,0.014232514578153397,0.19660055346651,501.921213,3906.111289,10.0,0.01992344563448447,0.1284963934369869,0.2948934212544088
GERAL,GERAL,2025-09-12,110564,2690,0.024329799934879347,0.1546702219330855,416.062897,4178.414317,12.0,0.02884179311956288,0.09957435176000524,0.2901446784128348
GERAL,GERAL,2025-09-13,115389,3369,0.02919689051816031,0.13050282991985754,439.664034,4996.702288,7.0,0.01592124772252806,0.08799084049011487,0.27615038962516353
GERAL,GERAL,2025-09-14,106366,2866,0.02694470037417972,0.13581882274947663,389.256746,4136.925311,22.0,0.05651796719278951,0.09409324963275849,0.2918233082706767
GERAL,GERAL,2025-09-15,125989,1878,0.014906063227742105,0.22190884291799787,416.744807,3823.863956,10.0,0.023995499960722966,0.10898525988250403,0.2785648761594129
GERAL,GERAL,2025-09-16,119795,1955,0.016319545890896948,0.20723319641943733,405.140899,3260.252729,11.0,0.027151048011077254,0.12426671570466463,0.26058426966292136
GERAL,GERAL,2025-09-17,108678,2092,0.01924952612304238,0.2026595186424474,423.963713,3378.318244,14.0,0.03302169400521313,0.12549549283966155,0.27423252483665983
GERAL,GERAL,2025-09-18,92775,1866,0.02011317704122878,0.20613031672025722,384.639171,2934.457559,17.0,0.0441972666377237,0.1310767538008206,0.2414614773629865
GERAL,GERAL,2025-09-19,79597,2278,0.028619169064160708,0.16508618700614575,376.066334,3547.861992,12.0,0.031909264177845814,0.10599801650909312,0.2780295401141323
GERAL,GERAL,2025-09-20,106763,3165,0.029645101767466257,0.20494422022116904,648.648457,4852.573015,19.0,0.02929167532113624,0.13367103493238217,0.24960385371109844
GERAL,GERAL,2025-09-21,88770,2849,0.032094175960346964,0.17555055282555282,500.143525,4240.209437,26.0,0.05198507768345097,0.11795255221021762,0.21494193101057377
GERAL,GERAL,2025-09-22,80640,1925,0.023871527777777776,0.21492123532467533,413.723378,3353.853088,7.0,0.016919517658970675,0.12335763289104452,0.255458762303428
GERAL,GERAL,2025-09-23,128620,1707,0.013271652931114913,0.36134442823667257,616.814939,3314.880143,10.0,0.01621231810016197,0.18607458260671117,0.26388366553842296
GERAL,GERAL,2025-09-24,198624,1964,0.009888029643950379,0.5417522612016293,1064.001441,4244.350215,13.0,0.012218028565621085,0.2506865331799676,0.2191977077363897
GERAL,GERAL,2025-09-25,134550,2404,0.017866963953920477,0.4651772229617304,1118.286044,3666.879622,13.0,0.01162493269924059,0.3049693906750234,0.21875553979790818
GERAL,GERAL,2025-09-26,132969,2930,0.022035211214644013,0.45053110273037544,1320.056131,4221.042281,17.003747,0.012881078766793744,0.31273226921746633,0.2242506811989101
GERAL,GERAL,2025-09-27,143058,3418,0.023892407275370828,0.4163446073727326,1423.065868,4808.01141,16.0,0.011243330586297218,0.2959780555096478,0.18330041794883573
GERAL,GERAL,2025-09-28,126324,3674,0.029083942877046326,0.33429692950462714,1228.206919,4095.117998,18.0,0.014655510990489706,0.2999197873174447,0.2113390492436145
GERAL,GERAL,2025-09-29,110187,2054,0.01864103750896204,0.4505354751703992,925.399866,2864.304481,12.0,0.012967367341287252,0.32308013066994884,0.21340642431236775
GERAL,GERAL,2025-09-30,111407,1879,0.01686608561400989,0.44133494944119217,829.26837,2553.482976,10.000655,0.012059612257971445,0.32475970186378095,0.22662831312923773
GERAL,GERAL,2025-10-01,121696,2182,0.017929923744412306,0.46073283180568286,1005.319039,3148.360617,15.0,0.01492063655227363,0.31931508530872976,0.20814866651115776
GERAL,GERAL,2025-10-02,147049,2485,0.016899128861807968,0.5926692820925553,1472.783166,4716.263657,24.000686,0.016296143623901256,0.3122775300770255,0.21916502077232172
GERAL,GERAL,2025-10-03,132620,2896,0.02183682702458151,0.44769280145027623,1296.518353,4792.06855,14.0,0.010798150267295137,0.2705550514297213,0.20372618356468042
GERAL,GERAL,2025-10-04,149797,3684,0.024593282909537575,0.36103102442996743,1330.038294,5782.816207,27.000339,0.020300422267390747,0.2299983686823751,0.22638123317523395
GERAL,GERAL,2025-10-05,129757,3188,0.024569002057692454,0.34866330991217065,1111.538632,4887.701014,28.0,0.025190307555590204,0.2274154308572034,0.22200671744169545
GERAL,GERAL,2025-10-06,174316,2471,0.014175405585258954,0.5096368721165521,1259.312711,5520.090043,26.996223,0.02143726714118746,0.22813263935738304,0.2309607969151671
GERAL,GERAL,2025-10-07,142792,2631,0.018425401983304387,0.41579364348156594,1093.953076,4299.546723,20.0,0.018282319816796237,0.2544345128634156,0.2501430556690918
GERAL,GERAL,2025-10-08,155711,2403,0.015432435730295227,0.4405604369538077,1058.66673,4318.568594,20.0,0.01889168652726057,0.24514296970316915,0.23841438496117695
GERAL,GERAL,2025-10-09,180520,2872,0.015909594504764014,0.4449678561977716,1277.947683,5717.890764,20.0,0.015650092931073452,0.22349984211765542,0.19490067261066793
GERAL,GERAL,2025-10-10,279346,4740,0.016968204305771336,0.4794142,2272.423308,7008.431575,45.007351,0.019805883367571938,0.3242413489640155,0.25274862568715645
GERAL,GERAL,2025-10-11,358780,6317,0.017606890016165895,0.40586718711413644,2563.863021,8032.549349,48.0,0.018721749019679785,0.31918422279213066,0.215
GERAL,GERAL,2025-10-12,335646,6820,0.020319026593494337,0.3333673668621701,2273.565442,5759.298574,49.001512,0.021552716757031003,0.39476429512855465,0.20261629325913993
GERAL,GERAL,2025-10-13,361767,5007,0.013840400036487574,0.49683630357499503,2487.659372,5607.725706,36.998689,0.014872891930640092,0.4436128838003476,0.2728856996412096
GERAL,GERAL,2025-10-14,342768,4402,0.012842505718153386,0.5467448998182645,2406.771049,5209.72698,38.0,0.01578878889032207,0.46197642568209973,0.2502337759491304
GERAL,GERAL,2025-10-15,349426,4573,0.013087177256414806,0.5025283192652525,2298.062004,5655.503786,38.0,0.01653567220286368,0.4063408125883977,0.249485949280329
GERAL,GERAL,2025-10-16,497015,4823,0.009703932476887016,0.5051080080862533,2436.135923,5828.423877,33.02518,0.013556378233333905,0.4179750777244302,0.22238108855209227
GERAL,GERAL,2025-10-17,361208,5159,0.014282629399127373,0.4308421174646249,2222.714484,5988.151673,31.995745,0.014394896524190733,0.3711854016694343,0.24134975062344138
GERAL,GERAL,2025-10-18,415718,6979,0.016787822514300558,0.37650614916177105,2627.636415,7997.509134,76.999661,0.02930377298793829,0.3285568507610785,0.2730221244063477
GERAL,GERAL,2025-10-19,402889,5455,0.01353970944850815,0.4115412254812099,2244.957385,5451.500297,57.0,0.025390236973251053,0.41180542285495547,0.23120040307343495
GERAL,GERAL,2025-10-20,383917,4450,0.011591047023184699,0.47386716337078655,2108.708877,5195.596321,54.0,0.025608086819847914,0.40586464896759633,0.22865070393587503
GERAL,GERAL,2025-10-21,325060,3406,0.010478065587891466,0.5408196746917205,1842.031812,4996.620968,56.0,0.030401212202300448,0.3686555021477466,0.21750984550136324
GERAL,GERAL,2025-10-22,255117,2758,0.010810726059023898,0.5518260340826686,1521.936202,4322.31855,55.0,0.0361381770981751,0.35211106825988103,0.20461912479740682
GERAL,GERAL,2025-10-23,230659,3063,0.013279343099553887,0.45856315507672213,1404.578944,3883.750564,57.0,0.04058155666044214,0.3616552919282692,0.2182906434292756
GERAL,GERAL,2025-10-24,242643,3554,0.01464703288370157,0.4087609445694992,1452.736397,4152.332489,46.0,0.03166438184862247,0.3498603256960909,0.23931689977590603
GERAL,GERAL,2025-10-25,236121,4679,0.019816111231106086,0.31157587134002995,1457.863502,5691.108986,60.0,0.04115611641123313,0.2561650999104588,0.26492840617770275
GERAL,GERAL,2025-10-26,221027,3919,0.01773086545987594,0.3427147279918346,1343.099019,3605.448419,41.0,0.030526416459246926,0.3725192716451396,0.23468634686346865
GERAL,GERAL,2025-10-27,209483,3408,0.016268623229569942,0.3496235812793427,1191.517165,3162.49011,46.0,0.03860624198393315,0.3767654991970868,0.24121976866456363
GERAL,GERAL,2025-10-28,214416,3371,0.015721774494440715,0.3350503174132305,1129.45462,3035.531464,48.973026,0.043359888155577245,0.372078047417663,0.26373626373626374
GERAL,GERAL,2025-10-29,233813,3156,0.013497966323514946,0.3999978358681876,1262.39317,3063.806981,42.0,0.033270141979617966,0.41203417115655433,0.2746969016614279
GERAL,GERAL,2025-10-30,250886,3690,0.014707875289972338,0.4053947113821138,1495.906485,2984.364898,44.997186,0.030080213202632114,0.5012478487474825,0.2776754466752625
GERAL,GERAL,2025-10-31,263961,4358,0.016510014737025545,0.3571110943093162,1556.290149,3360.682249,38.0,0.024417040758381105,0.46308756189701883,0.28983940704138356
GERAL,GERAL,2025-11-01,164075,5279,0.03217431052872162,0.2608104908126539,1376.818581,3667.506123,60.0,0.043578726222899516,0.37541002927454414,0.2586803617282572
GERAL,GERAL,2025-11-02,131757,5413,0.041083206205362904,0.21975169702567893,1189.515936,3109.214834,73.0,0.06136950148434161,0.3825775957943986,0.28569831152856984
GERAL,GERAL,2025-11-03,137016,4322,0.03154376131254744,0.26457862910689495,1143.508835,2483.757056,38.0,0.03323105063722573,0.4603948007868287,0.30190609019060904
GERAL,GERAL,2025-11-04,128066,4062,0.03171802039573345,0.26530098547513536,1077.652603,2852.99699,80.0,0.07423542594087716,0.3777265124279013,0.29440885264997085
GERAL,GERAL,2025-11-05,94241,2412,0.025593955921520358,0.31183337728026533,752.142106,2287.548573,28.0,0.037227007737817036,0.3287983105047711,0.28328611898017
GERAL,GERAL,2025-11-06,98348,2292,0.023304998576483507,0.35981257940663175,824.690432,2791.90054,19.0,0.023038948025530144,0.29538675185040797,0.32494594063298604
GERAL,GERAL,2025-11-07,337113,4363,0.012942247851610588,0.5281787714875086,2304.44398,4956.126773,24.0,0.010414659765346087,0.46496873174313375,0.34026745913818723
GERAL,GERAL,2025-11-08,269152,6471,0.02404217691118773,0.2814899658476279,1821.521569,6820.312417,53.0,0.02909655361868515,0.2670730397129255,0.3042128004320821
GERAL,GERAL,2025-11-09,291920,6305,0.021598383118662648,0.2732608737509913,1722.909809,5868.443298,38.0,0.022055710520364216,0.29358889939128796,0.35650224215246634
GERAL,GERAL,2025-11-10,204486,4616,0.022573672525258454,0.34452300779896017,1590.318204,3563.709871,15.0,0.009432074639070157,0.4462535564248238,0.31783511846802986
GERAL,GERAL,2025-11-11,209577,4515,0.021543394551883078,0.39431314706533777,1780.323859,4217.470585,20.0,0.011233911121785399,0.4221307115530244,0.30139372822299654
GERAL,GERAL,2025-11-12,281613,5073,0.018014083156672456,0.46463720894933963,2357.104561,4741.330231,27.0,0.01145473155783351,0.4971399261727568,0.29348895154416105
GERAL,GERAL,2025-11-13,292351,5039,0.017236130541711848,0.4594547491565787,2315.192481,4994.974629,13.0,0.005615083889001279,0.46350435246625155,0.31432145090681674
GERAL,GERAL,2025-11-14,315739,5056,0.016013226113973884,0.43601872151898735,2204.510656,5393.91266,35.0,0.015876539269493103,0.4087034394064512,0.26159554730983303
GERAL,GERAL,2025-11-15,308551,6667,0.02160744901167068,0.33897045912704366,2259.916051,7277.432109,60.0,0.02654965876871857,0.310537565607127,0.2726946408700958
GERAL,GERAL,2025-11-16,302907,6404,0.02114180259947773,0.32573112367270457,2085.982116,5762.247924,40.0,0.019175619816291848,0.3620083938616731,0.3087903505727178
GERAL,GERAL,2025-11-17,206976,4494,0.021712662337662336,0.2548583217623498,1145.333298,4080.983931,28.0,0.02444703218608423,0.28065126385326117,0.2781456953642384
GERAL,GERAL,2025-11-18,285242,5602,0.01963946403404828,0.238908480185648,1338.365306,4909.241092,33.0,0.024656945194304076,0.27262162947771557,0.28201645761764
GERAL,GERAL,2025-11-19,250100,4689,0.018748500599760097,0.2730611226274259,1280.383604,5033.145236,25.0,0.019525398421143793,0.25439035512862757,0.32147472443937664
GERAL,GERAL,2025-11-20,243959,5496,0.022528375669682202,0.26399148016739443,1450.897175,6211.721807,54.0,0.037218350776649624,0.2335740749633993,0.29814337986176986
GERAL,GERAL,2025-11-21,299560,4702,0.015696354653491788,0.33050237558485746,1554.02217,7155.301877,39.0,0.025096167064334738,0.21718471096170636,0.3298760600130463
GERAL,GERAL,2025-11-22,313532,6281,0.020033042879195745,0.26063047444674414,1637.02001,8711.956566,61.0,0.037262831014509105,0.18790497835914025,0.3499402342816161
GERAL,GERAL,2025-11-23,279148,5920,0.021207388195509193,0.25723432195945944,1522.827186,7565.282151,69.0,0.04531045980420263,0.20129152563050254,0.293040454285337
GERAL,GERAL,2025-11-24,221969,3097,0.01395239875838518,0.39634123119147563,1227.468793,5888.643917,47.0,0.038290179162216796,0.20844676810163454,0.34016615495755825
GERAL,GERAL,2025-11-25,216770,2651,0.012229552059786871,0.4640967023764617,1230.320358,5282.690938,42.0,0.03413745023960662,0.23289652422214066,0.33806124365959045
GERAL,GERAL,2025-11-26,241817,2974,0.012298556346328008,0.44584110894418294,1325.931458,6157.069871,31.0,0.02337979072218377,0.21535104940828761,0.3356276630612914
GERAL,GERAL,2025-11-27,238425,2881,0.012083464401803502,0.44474830059007286,1281.319854,6785.676855,42.0,0.03277870070371983,0.18882712533766835,0.3165207725441156
GERAL,GERAL,2025-11-28,241520,2638,0.010922490891023517,0.5267930705079606,1389.68012,7171.396957,37.0,0.026624832195196114,0.19378095067566067,0.24709641737847968
GERAL,GERAL,2025-11-29,268694,3754,0.013971283318570567,0.3545465002663825,1330.967562,8505.578003,49.0,0.03681532247590569,0.15648173016937295,0.33008413112851753
GERAL,GERAL,2025-11-30,264431,4138,0.015648694744564744,0.29386262832286125,1216.003556,7770.433402,61.0,0.05016432698655694,0.15649108525748612,0.35875451263537905
GERAL,GERAL,2025-12-01,309582,2864,0.009251183854358457,0.441955282122905,1265.759928,6824.614293,34.0,0.026861333850031633,0.18546981172229596,0.3209457068025766
GERAL,GERAL,2025-12-02,322058,1704,0.005290972433536816,0.9443557646713615,1609.182223,6493.926926,6.0,0.0037286019657948957,0.24779801826183961,0.2577989205013265
GERAL,GERAL,2025-12-03,296774,1484,0.0050004380437639415,1.0529126300539082,1562.522343,6614.933798,5.0,0.0031999542421903143,0.23621133494524507,0.23638704930095658
GERAL,GERAL,2025-12-04,274926,1907,0.006936411979950968,0.7792974530676455,1486.120243,6687.814711,5.0,0.003364465307266526,0.22221313047977476,0.2609494077678817
GERAL,GERAL,2025-12-05,257714,1774,0.0068835996492235575,0.847423603156708,1503.329472,7031.626626,10.0,0.006651901786170797,0.21379540637742614,0.26179755043227665
GERAL,GERAL,2025-12-06,263661,2495,0.009462908810935254,0.6888264096192385,1718.621892,8369.72976,11.0,0.006400477063165445,0.20533779958028178,0.24587446311506292
GERAL,GERAL,2025-12-07,300167,2693,0.008971672435677473,0.6409795128109915,1726.157828,6799.02844,10.0,0.005793213017830719,0.2538830133206503,0.27188117549563334
GERAL,GERAL,2025-12-08,362660,2016,0.005558925715546241,0.8812792524801587,1776.658973,6592.638235,13.0,0.007317104856678649,0.2694913492397934,0.282365169188128
GERAL,GERAL,2025-12-09,317546,2112,0.006651004893779169,0.7834364119318182,1654.617702,5977.056436,16.0,0.009669907423727055,0.2768281878742495,0.2647607820021613
GERAL,GERAL,2025-12-10,320585,1629,0.005081335683204143,1.106268305709024,1802.11107,6299.237237,5.0,0.002774523770058191,0.28608401338099976,0.27936647602287723
GERAL,GERAL,2025-12-11,317505,1717,0.005407788853718839,1.0721255608619684,1840.839588,7212.481813,10.0,0.005432303860253574,0.25522970258060323,0.3200561009817672
GERAL,GERAL,2025-12-12,280021,1950,0.006963763432028312,0.9477174630769231,1848.049053,7536.020682,12.0,0.006493334135541477,0.2452287660799708,0.23716573716573716
GERAL,GERAL,2025-12-13,276686,2287,0.008265687457984864,0.7725122286838653,1766.735467,7791.753443,5.0,0.0028300784658442588,0.226744272637016,0.23665349320115212
GERAL,GERAL,2025-12-14,303606,2774,0.009136841827895365,0.657336118961788,1823.450394,7537.69335,6.0,0.0032904651641430943,0.24191092809579473,0.2663493742288031
GERAL,GERAL,2025-12-15,275162,1891,0.006872315217944338,0.791984189846642,1497.642103,6251.410014,9.0,0.006009446437150546,0.23956868924707198,0.2528520665793903
