shopping,plataforma,tipo_post,data,caption,likes,comentarios,salvos,compartilhamentos,alcance,impressoes,engajamento
CS,Instagram,Carrossel,2026-04-27,"O cuidado dela sempre esteve nos detalhes: no toque, no acolhimento e no tempo dedicado a fazer tudo florescer.

Neste Dia das Mães, o convite é retribuir com a mesma delicadeza: presentes que acolhem",10,1,0,0,951,0,11
CS,Instagram,Carrossel,2026-04-27,"Uma das peças favoritas da @silviabraz tem nome: vestido Paisley!

E por aqui, você confere mais sobre a estampa, que tem inspiração nos 70 e é ideal para levar um toque boho aos looks.

Descubra as p",41,0,1,0,2780,0,42
CS,Instagram,Carrossel,2026-04-27,"No dia 1º de maio, nossas lojas e quiosques estarão fechados, mas a alimentação e o lazer funcionam normalmente, das 11h às 22h.

Um convite pra aproveitar o dia no Continente Shopping.

#continentesh",139,1,6,74,9991,0,220
CS,Instagram,Reel,2026-04-27,"O Dia das Mães se aproxima… e com ele, a chance de transformar esse momento em algo ainda mais especial 

No Continente Shopping, cada escolha pode ir além do presente. A cada R$300 em compras, você g",30,1,3,8,1610,0,42
CS,Instagram,Carrossel,2026-04-27,"Tem coisa no Continente Shopping que você talvez nem saiba que existe.

Além das compras e do lazer, existem vários serviços por aqui que podem facilitar sua rotina de um jeito que você nem imagina.

",33,2,2,9,1565,0,46
CS,Instagram,Reel,2026-04-26,"O passo certo para atualizar o visual! 👞

Se você quer saber quais sapatos masculinos estão dominando a temporada, acabou de encontrar o guia definitivo com o consultor de moda e estilo @felipedenigri",121,34,4,28,2282,0,187
CS,Instagram,Reel,2026-04-26,"O Evento mais icônico do ano está chegando!

Garanta o seu lugar na primeira fileira. O Diabo Veste Prada 2 está chegando no Continente Shopping, e as vendas dos ingressos já estão disponíveis na @cin",1125,29,19,418,22446,0,1591
CS,Instagram,Carrossel,2026-04-26,"Ele começa como um balde de pipoca… e termina como tudo o que você quiser. ✨👠
 
Organizador, porta-joias, nécessaire, cantinho de autocuidado. Um colecionável que vai muito além do cinema.
 
Porque qu",1685,39,61,1178,36117,0,2963
CS,Instagram,Reel,2026-04-25,"Que aventura linda vivemos hoje! 🐾✨

O musical da Aventura Canina no Continente Shopping foi cheio de alegria, risadas e momentos especiais.
Só temos a agradecer a cada família que esteve presente e f",255,16,6,89,5423,0,366
CS,Instagram,Reel,2026-04-25,"Começou a contagem regressiva por aqui 🍿✨

#DiaboVestePrada2 já está dando o que falar, e nada melhor do que entrar no clima com uma trend inspirada no clássico que todo mundo ama.

E fica o questiona",285,18,9,28,9981,0,340
CS,Instagram,Carrossel,2026-04-24,"📱 O iPhone 17 já tem novos donos! ✨

A sorte brilhou para quem utilizou o App AJFans! Confira quem garantiu o prêmio aqui no Continente Shopping:

🏆 Ganhador(a): Marcel Silva Fuch

Parabéns! 🎉 Agora é",52,14,2,17,3560,0,85
CS,Instagram,Carrossel,2026-04-23,"#tbt pra lembrar como tudo começou 🍔✨

A pré-inauguração do @bombeefburgers foi cheia de momentos especiais, ainda mais com a presença da criançada da @ongcvm deixando tudo mais leve e cheio de energi",140,5,7,13,8626,0,165
CS,Instagram,Reel,2026-04-23,"Uma tarde pra viver em família no Continente Shopping 🐾💙

Neste sábado, dia 25 de abril, o Continente Shopping recebe o Musical da Aventura Canina, um espetáculo cheio de música, diversão e personagen",120,4,12,172,4569,0,308
CS,Instagram,Carrossel,2026-04-23,"O Dia das Mães está chegando, e a oportunidade de ganhar um presente de luxo também! 💐 No Continente Shopping, você tem a chance de conquistar o incrível Jaecoo 7 Luxury, o SUV híbrido de luxo, a cada",26,0,4,14,4991,0,44
CS,Instagram,Reel,2026-04-23,"ELE CHEGOU! O prêmio da nossa promoção de Mães: um Jaecoo 7 Luxury, que presentão hein? 

A cada R$ 300,00 em compras no Continente Shopping você ganha 1 número da sorte e concorre a esse super carro.",89,7,1,26,3867,0,123
CS,Instagram,Carrossel,2026-04-22,"O Super Games chegou no Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas as gerações.

Dos clássicos que marcaram época às tecnologias mais avançadas da at",53,3,2,28,2366,0,86
CS,Instagram,Carrossel,2026-04-22,"O Continente Shopping recebe neste sábado (25/04), um dos maiores encontros de conversíveis do Brasil, reunindo modelos incríveis e apaixonados por carros em um só lugar.

Pra quem participa, é experi",727,9,37,541,13522,0,1314
CS,Instagram,Carrossel,2026-04-21,"As semifinais da Liga dos Campeões vão ganhar tela grande no Continente Shopping, com transmissão na Praça de Alimentação para você acompanhar cada lance.

Chama a galera, escolhe seu lugar favorito e",40,0,3,5,3122,0,48
CS,Instagram,Reel,2026-04-21,"Só de olhar já sabemos a resposta, né? 😂 

Assista #Michael nas telas da @cinepolisbrasil, sessões a partir de 21/04. Te esperamos aqui! 

#continenteshopping #shopping #cinema #saojose",416,25,10,51,10228,0,502
CS,Instagram,Reel,2026-04-20,"Você entrou na @allminioficial do Continente Shopping e não conseguiu sair sem as comidinhas mais diferentes do mundo! 🍡🥤✨

A loja inaugurou hoje e está cheia de novidades em papelaria, mimos e, claro",1740,34,167,2479,30922,0,4420
CS,Instagram,Carrossel,2026-04-18,"Tem coisas que o tempo muda.
Outras, ele só melhora. 🎮

Os videogames evoluíram, os gráficos ficaram mais realistas, os controles mais modernos…
mas a sensação de jogar, de passar de fase e de compart",86,2,5,25,3289,0,118
CS,Instagram,Carrossel,2026-04-18,"O melhor plano pro fim de semana já começou: com helado e muuuito Dulce de Leche @havannacontinente 

#havanna #havannabr #dulcemomento #helado
#dulcedeleche",52,2,3,5,2704,0,62
CS,Instagram,Carrossel,2026-04-17,"A cada mudança de estação, o estilo também se renova.

Agora é a hora de escolher suas próximas apostas e entrar na estação com presença, atitude e muito estilo.

Vem descobrir as novidades da @ophici",48,4,4,14,2528,0,70
CS,Instagram,Reel,2026-04-16,"Dos clássicos que marcaram época às tecnologias mais avançadas da atualidade, você vai poder jogar, explorar e se divertir em um ambiente pensado para todas as idades.

💃 Tem área de dança
🥽 Realidade",264,7,21,307,8695,0,599
CS,Instagram,Reel,2026-04-16,"Eu depois de garantir meu ingresso na pré-venda de Michael: já vivendo o show na cabeça, cantando sozinho e achando que tô no palco 🕺

A cinebiografia do Rei do Pop está chegando! Garanta seu ingresso",365,96,8,96,5631,0,565
CS,Instagram,Carrossel,2026-04-15,"Elegância que sai das telas direto para o seu estilo. ✨

Com inspirações no universo de O Diabo Veste Prada 2, as tendências do momento ganham vida nas lojas do Continente Shopping, onde sofisticação ",157,0,8,52,5779,0,217
CS,Instagram,Carrossel,2026-04-14,O acervo de quem entende que um único par nunca é o limite. ✨ Uma curadoria de saltos e texturas para um Inverno inesquecível. Arraste para o lado e descubra as novidades da @arezzo.continente by @ama,46,2,1,2,4068,0,51
CS,Instagram,Carrossel,2026-04-12,"𝑅𝑈𝑁𝑊𝐴𝑌 os reúne outra vez.

#ODiaboVestePrada2, em 30 de abril nos cinemas.

#continenteshopping #cinema",1003,14,22,220,10354,0,1259
CS,Instagram,Reel,2026-04-10,"De 11/04 até 11/05 evento gratuito #Prepare-se para apertar o play na nostalgia!

O Super Games chega ao Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas a",69,6,4,69,3304,0,148
CS,Instagram,Carrossel,2026-04-08,"Prepare-se para apertar o play na nostalgia!

O Super Games chega ao Continente Shopping com uma experiência interativa que reúne o melhor dos videogames de todas as gerações.

Dos clássicos que marca",252,7,29,324,7659,0,612
CS,Instagram,Carrossel,2026-04-07,"Abril chegou e a telona da @cinepolisbrasil no Continente Shopping está pronta para receber os lançamentos mais aguardados do ano. Se você é fã de cinema, prepare a pipoca porque o mês está imperdível",280,4,14,143,6843,0,441
CS,Instagram,Carrossel,2026-04-07,"Abril é mês de conscientização, respeito e inclusão.

O Continente Shopping preparou uma programação especial de Abril Azul em parceria com @amafloripa com ações que convidam toda a comunidade a refle",101,8,4,93,3493,0,206
CS,Instagram,Carrossel,2026-04-06,"🎮 ATENÇÃO gamers de todas as idades!

A Arena Super Games está chegando no Continente Shopping trazendo a maior experiência gamer da região, uma verdadeira viagem pelos jogos que marcaram gerações.

P",287,6,24,314,10870,0,631
CS,Instagram,Carrossel,2026-04-06,"O mês mudou, mas o destino preferido continua o mesmo: Continente Shopping! 

Neste mês de abril, preparamos uma agenda especial para você viver momentos incríveis.

Lembrando que de segunda a quinta ",1109,21,113,909,28408,0,2152
CS,Instagram,Reel,2026-04-05,"A Páscoa nos convida a renovar sentimentos, fortalecer laços e valorizar o que realmente importa: estar presente. 

Que este momento seja de união, esperança e novos começos, ao lado de quem faz a vid",363,5,6,26,9939,0,400
CS,Instagram,Carrossel,2026-04-04,"Em clima de Páscoa, nosso shopping se encheu de alegria! A nossa caça aos doces foi um sucesso e transformou o dia em uma experiência inesquecível para a criançada e suas famílias.

Acreditamos que a ",142,5,0,11,5324,0,158
CS,Instagram,Imagem,2026-04-03,"O filme do Mario chegou trazendo nostalgia, diversão e muita ação! E pra deixar tudo ainda mais épico, a @cinepolisbrasil preparou um balde de pipoca temático do Yoshi simplesmente incrível 🤩

Corre g",274,16,13,112,7735,0,415
CS,Instagram,Carrossel,2026-04-03,"Seu almoço de sexta-feira é no Continente Shopping!

Seja para manter a tradição com um peixe grelhado, saborear um risoto ou aproveitar um combo de sushi fresquinho, estamos prontos para receber você",49,4,1,10,3607,0,64
CS,Instagram,Reel,2026-04-02,"A época mais dulce do ano chegou. Páscoa Havanna com muuuuito Dulce de Leche @havannacontinente 

#continenteshopping #havanna #pascoa #dulcedeleche #dulcemomento",32,0,0,11,3197,0,43
CS,Instagram,Carrossel,2026-04-02,"A busca pelo ovo de Páscoa perfeito termina aqui! 🍫✨

Das opções clássicas as mais irresístiveis, nossas lojas estão recheadas de delícias para deixar o seu feriado inesquecível. E o melhor: sua compr",38,0,1,2,3466,0,41
CS,Instagram,Carrossel,2026-04-02,"Por um passeio mais leve e acolhedor para todos. ❤️🧩

Aqui no Continente Shopping, acreditamos que o lazer deve ser acessível e confortável para todos. Por isso, reforçamos nossas iniciativas de apoio",172,5,3,28,4859,0,208
CS,Instagram,Carrossel,2026-03-31,"Direto pra uma nova galáxia… e com ingresso garantido 🚀🍄
 
A pré-venda de “Super Mario Galaxy: O Filme” já começou! Não perca a chance de viver essa aventura épica cheia de nostalgia e diversão.
 
Gar",154,6,7,67,5410,0,234
CS,Instagram,Reel,2026-03-30,"@eleveby26.continente não é só uma academia. É o começo de um novo nível.

Aqui, cada detalhe foi pensado para entregar experiência, performance e resultado: estrutura premium, energia certa e um ambi",48,1,2,2,2959,0,53
CS,Instagram,Reel,2026-03-28,"Páscoa do jeitinho que a gente ama! 🍫 

Chamamos a @lauracquadros e @kalliuporai para provar as novidades MAIS irresistíveis da @brasilcacau_continenteshopping… e olha, foi amor na primeira mordida! 🤤",296,93,10,79,15459,0,478
CS,Instagram,Reel,2026-03-26,"Suas compras no Continente Shopping valem um iPhone 17 Black! 

A @lauracquadros veio te mostrar como transformar suas notas fiscais em chances de ganhar o smartphone mais moderno do mercado. É simple",116,12,3,5,3815,0,136
CS,Instagram,Carrossel,2026-03-25,"📱 Seu próximo iPhone pode estar mais perto do que você imagina.

Confira o passo a passo e participe do sorteio pelo App AJFans. Cada compra pode se transformar em uma nova chance de ganhar.

A cada 1",39,4,4,11,4275,0,58
CS,Instagram,Carrossel,2026-03-24,"Tem coisas que são essenciais na Páscoa. O Ovo Recheado de Marshmallow da @goldko.continente é uma delas 🐰

Um marshmallow sem açúcar, com uma textura e sabor que só a GoldKo consegue entregar.

É o e",38,2,3,0,3145,0,43
CS,Instagram,Reel,2026-03-23,"A Amarelinha já está entre nós! O único manto com cinco estrelas no peito está pronto pra voar livre.

A nova camisa I da Seleção Brasileira acaba de chegar no Continente Shopping. Uma celebração para",175,13,3,19,4913,0,210
CS,Instagram,Reel,2026-03-22,"Quando viajamos, o nosso primeiro desejo é mergulhar na história e nos monumentos do destino, não é? 🌍 Mas e se a gente olhasse para a nossa própria cidade com esse mesmo olhar de turista?

Neste últi",230,12,10,16,4315,0,268
CS,Instagram,Imagem,2026-03-22,"Quer ganhar um iPhone 17 Black? É fácil, basta participar do sorteio exclusivo no App AJFans!

📝 Cadastre suas notas fiscais no app e ganhe 1 ponto a cada real gasto. Já é NewFan, SuperFan ou MegaFan?",21,0,4,4,2997,0,29
CS,Instagram,Carrossel,2026-03-21,"A magia só acontece de verdade quando temos um público tão especial para compartilhá-la! ✨💖

Hoje, o palco do Continente Shopping transbordou alegria com o musical “A Menina da Casa Mágica”. Ver cada ",284,11,6,72,7880,0,373
CS,Instagram,Carrossel,2026-03-19,"Absolute cinema 🍿 

Reviva o início de uma das sagas mais marcantes do cinema com reexibição de “Crepúsculo” nas telonas da @cinepolisbrasil 

De 19/03 a 25/03, volte a Forks e reviva novamente esse c",4379,55,127,1752,56519,0,6313
CS,Instagram,Reel,2026-03-19,"Entre tantas histórias que nasceram ao longo desses 276 anos, existe algo em comum: o orgulho de ser de São José. ✨

Uma cidade cheia de vida, que cresce junto com as pessoas que vivem aqui.

E o Cont",61,3,2,8,2921,0,74
CS,Instagram,Reel,2026-03-17,"Um palco cheio de histórias no coração de São José!

O Theatro Adolpho Mello acompanha a cidade desde o seu nascimento e já viveu muitas fases: de apresentações teatrais a cinema e até quartel. Hoje, ",211,27,4,29,4980,0,271
CS,Instagram,Carrossel,2026-03-17,"A semana está cheia de programação no Continente Shopping! Tem musical infantil e cinema com desconto para você aproveitar momentos especiais com a família, living painting, jazz ao vivo e promoções e",207,2,22,180,7742,0,411
CS,Instagram,Reel,2026-03-17,"✨ Promoção exclusiva para fãs de K-Pop!

Para celebrar o musical Guerreiras do K-Pop, a @anacapricontinente preparou um presente especial no Continente Shopping. 

👟 Na compra de um tênis da marca, vo",68,6,2,36,4655,0,112
CS,Instagram,Reel,2026-03-16,"Você sabe como começou a economia de São José?

No segundo episódio da nossa série especial de aniversário da cidade, o @guiamanezinho conta curiosidades sobre as atividades que movimentaram São José ",126,14,6,10,3702,0,156
CS,Instagram,Carrossel,2026-03-16,"Quem disse que jeans não é digno de tapete vermelho? ✨

Na cobertura da maior premiação do cinema, @caropita levou para Hollywood um look exclusivo criado a partir do denim da @cea_brasil. O vestido, ",15,0,2,2,2332,0,19
CS,Instagram,Reel,2026-03-15,"Quem disse que quem nasce no continente não é Manezinho? 👀 

Em comemoração aos 276 anos de São José, convidamos o nosso estimado @guiamanezinho para uma série super especial, cheia de histórias, curi",496,45,18,148,9295,0,707
CS,Instagram,Carrossel,2026-03-15,"A aventura vai começar! 🍄

Os ingressos para Super Mario Galaxy: O Filme já estão disponíveis na @cinepolisbrasil ⭐🎬

Prepare-se para embarcar nessa jornada pelo universo do Mario Galaxy e garantir se",1726,22,82,913,37168,0,2743
CS,Instagram,Reel,2026-03-14,"Já anota na agenda: 19/03 Aniversário de São José às 19h

🎟️ Evento gratuito no Continente Shopping.

O musical Heroínas do K-Pop chega ao Continente Shopping no dia 19/03, às 19h, com muita atitude, ",426,19,36,565,18574,0,1046
CS,Instagram,Reel,2026-03-13,"A gente veste a camisa. Desde sempre. 🇧🇷✨

A camisa da Seleção Brasileira chegou no Continente Shopping. 

Disponível nas lojas Nike Unite e Centauro. Garanta já a sua! ⚽️🔥

#copa #brasil #nike #centa",408,28,17,145,9553,0,598
CS,Instagram,Carrossel,2026-03-12,"Direto para o Uruguai, sem sair do Continente Shopping 🇺🇾

A @amanddasasso veio viver a experiência do @narbona.br o único restaurante da marca no Brasil, e se surpreendeu com uma gastronomia cheia de",69,2,6,3,3014,0,80
CS,Instagram,Reel,2026-03-12,Live especial de Páscoa na @kopenhagen_continenteshopping 🍫,16,0,0,2,1279,0,18
CS,Instagram,Carrossel,2026-03-12,"Cada momento pede uma escolha de JEANS @damyller diferente. Do conforto à atitude, cada modelagem traduz estilo e personalidade. A escolha é sua: qual delas acompanha melhor o seu dia a dia? Comenta a",12,0,1,0,1148,0,13
CS,Instagram,Imagem,2026-03-11,"Coelhinho da Páscoa, o que trazes pra mim? 🐰 

Muitos doces, diversão e uma caça especial pelo shopping para as crianças viverem a magia da Páscoa!

No dia 28 de março, sábado, o Continente Shopping c",237,35,42,264,10998,0,578
CS,Instagram,Carrossel,2026-03-11,"Nessa temporada, o @cafecultura escolheu celebrar o que é nosso: BRIGADEIRO. O doce mais afetivo, que tem gosto de abraço e memória, é o grande protagonista da nossa Páscoa!

Ele chega transformando n",74,4,2,21,2552,0,101
CS,Instagram,Carrossel,2026-03-10,"Dois musicais especiais chegam ao Continente Shopping para encantar públicos de todas as idades! 🎶✨

🎤 19/03 – Quinta-feira: Musical Heroínas do K-Pop
Às 19h, um espetáculo vibrante inspirado no unive",231,21,33,335,10747,0,620
CS,Instagram,Carrossel,2026-03-10,"A semana em comemoração ao Dia do Consumidor começa com um combo de vantagens no nosso programa de relacionamento AJFans.

De 09 a 15 de março, tem benefícios exclusivos, cupons e descontos, ingressos",511,4,99,777,17498,0,1391
CS,Instagram,Carrossel,2026-03-09,"A semana em comemoração ao Dia do Consumidor começa com um combo de vantagens no nosso programa de relacionamento AJFans.

De 09 a 15 de março, tem benefícios exclusivos, cupons e descontos, ingressos",15,1,2,3,1355,0,21
CS,Instagram,Carrossel,2026-03-08,"Procurando um programa diferente para este domingo? No Continente Shopping, o dia é para os apaixonados por história e nostalgia.

Vem para a Feira de Colecionismo, um encontro imperdível para quem am",217,2,5,20,4451,0,244
CS,Instagram,Reel,2026-03-05,"Especial dia da mulher: unimos o cuidado da @adcoscontinente com a doçura irresistível da @goldko.continente para criar uma experiência especial.

Confira nossa programação especial para os dias 7 e 8",68,16,2,6,3555,0,92
CS,Instagram,Carrossel,2026-03-04,"Os filmes mais aguardados de 2026 🎬✨

Já salva esse post e manda pra aquela pessoa que vai sentar do seu lado na @cinepolisbrasil pra conferir todos esses lançamentos 🍿👀

#continenteshopping #cinema #",1674,20,264,1845,23644,0,3803
CS,Instagram,Carrossel,2026-03-03,"O mês mudou, mas o destino preferido continua o mesmo: Continente Shopping! 

Neste mês de março, preparamos uma agenda especial para você viver momentos incríveis.

Lembrando que de segunda a quinta ",2813,37,393,3313,64225,0,6556
CS,Instagram,Imagem,2026-03-01,"Já anota na agenda: 19/03 Aniversário de São José às 19h

Elas cantam, dançam, inspiram e conquistam 🎤 

O musical Heroínas do K-Pop chega ao Continente Shopping no dia 19/03, às 19h, com muita atitud",418,23,67,635,13287,0,1143
CS,Instagram,Carrossel,2026-02-28,"Homem do Sapato no Continente Shopping

Agora, você tem à disposição uma linha exclusiva de calçados masculinos com qualidade e sofisticação para todos os momentos. Do look casual ao mais formal, a Ho",57,0,0,3,2685,0,60
CS,Instagram,Reel,2026-02-26,"Ainda em ritmo de folia por aqui! 🥁✨ Nosso #TBT de hoje é pra relembrar os sorrisos e a energia contagiante do nosso Carnaval.

Queremos agradecer a cada um de vocês que trouxe animação, fantasias cri",72,12,2,13,3927,0,99
CS,Instagram,Carrossel,2026-02-25,"Luzes apagadas.
Coração acelerado.
Balde na mão.

A pré-venda de #Pânico7 já está aberta! O filme estreia dia 26 de fevereiro, mas já terá sessões especiais a partir do dia 25, somente nos cinemas. Co",414,7,7,151,6400,0,579
CS,Instagram,Carrossel,2026-02-24,"O Inverno 2026 da @chua_continente já começou a chegar. 

O Preview de Inverno é o convite perfeito para renovar o closet com as tendências que acabaram de sair das passarelas. Peças versáteis, cortes",19,1,2,7,1582,0,29
CS,Instagram,Carrossel,2026-02-22,"O @narbona.br chegou ao Continente Shopping!

A primeira unidade no Brasil do renomado restaurante uruguaio traz uma experiência gastronômica única, com vinhos próprios, pratos autênticos e uma fábric",61,6,4,17,3211,0,88
CS,Instagram,Carrossel,2026-02-21,"Última chamada para os pequenos protetores da natureza! 🌿🦦

O @capivalleyparque está vivendo seus últimos dias aqui no @continenteshopping e você não pode deixar essa aventura passar. É a oportunidade",39,2,2,25,5706,0,68
CS,Instagram,Reel,2026-02-19,"Estávamos esperando por isso há muito tempo! 🔪🖤

#Pânico7 estreia dia 26 de fevereiro na @cinepolisbrasil. Um novo capítulo da clássica franquia do cinema. Garanta agora seu lugar.

🍿 Balde já disponí",385,65,4,144,9912,0,598
CS,Instagram,Reel,2026-02-19,#tbt de um musical inédito em Santa Catarina! Ainda estamos encantados com o Musical das Capivaras que aconteceu aqui no Continente Shopping. Quem viveu esse momento com a gente sabe o quanto foi espe,40,1,2,7,3607,0,50
CS,Instagram,Carrossel,2026-02-19,"Hoje é o dia perfeito pra reunir a galera, trocar ideia e aproveitar um burguer de respeito! 🍔🔥 @bombeefburgers 

🚘 Aproveite para almoçar no Continente Shopping com estacionamento gratuito de segunda",21,2,3,2,1601,0,28
CS,Instagram,Carrossel,2026-02-18,"Que energia incrível! 🙌🎊 O Carnaval no Continente Shopping chegou ao fim, mas as memórias que criamos juntos vão ficar por muito tempo. Queremos agradecer a todos que trouxeram sua animação, suas fant",98,18,2,34,4267,0,152
CS,Instagram,Carrossel,2026-02-16,"Nossas capivarinhas deram um show de talento, mas o verdadeiro espetáculo aconteceu na plateia. Ficamos encantados com a animação das famílias e a recepção calorosa que deram ao nosso musical 💜

Agrad",79,12,1,14,3854,0,106
CS,Instagram,Reel,2026-02-15,"Confira a programação de carnaval:
🍃 Segunda-feira: Musical das Capivaras às 17h
🐾 Terça-feira: Carnapet das 14h às 16h
🥳 Terça-feira: Bailinho Kids das 16h às 18h

A folia está garantida no Continent",33,4,0,13,2811,0,50
CS,Instagram,Carrossel,2026-02-15,"Um pedacinho do Uruguai agora aqui!

No @narbona.br cada detalhe conta uma história de tradição e sabor. Comece sua jornada explorando nossa seleção de vinhos exclusivos, vindos diretamente de Terraza",33,2,1,9,2616,0,45
CS,Instagram,Reel,2026-02-14,"MUSICAL INÉDITO DAS CAPIVARAS NESTA SEGUNDA

Nesta segunda-feira, às 17h, tem apresentação especial do musical das capivaras no Continente Shopping, na Praça de Alimentação, e o melhor: evento gratuit",51,9,5,26,4243,0,91
CS,Instagram,Carrossel,2026-02-13,"Procurando um programa diferente para este Carnaval? No Continente Shopping, a folia é para os apaixonados por história e nostalgia.

Vem aí a Feira de Colecionismo, um encontro imperdível para quem a",267,18,19,125,6429,0,429
CS,Instagram,Carrossel,2026-02-12,"Já prepara a pipoca e atualize a sua lista! 🎬🍿 O ano de 2026 promete ser um ano incrível para quem não dispensa uma ida ao cinema. Tem de tudo: do mundo da moda à ficção científica, passando por roman",406,2,47,332,8022,0,787
CS,Instagram,Reel,2026-02-12,"VEM PRO BAILINHO DO CONTINENTE! 🎊🎭

Anota na agenda para não esquecer:
🗓 Terça-feira, 17/02
⏰ A partir das 16h
📍 Praça de Alimentação do Continente Shopping

A Isis já escolheu a fantasia e espera por",105,16,10,111,4806,0,242
CS,Instagram,Reel,2026-02-11,"Procurando o salão perfeito para o seu Glow Up de Carnaval? ✨

No @frankdferranfloripa a gente prepara o seu visual para brilhar do primeiro acorde até o último bloco! Seja um penteado que aguenta a f",63,18,6,16,4196,0,103
CS,Instagram,Carrossel,2026-02-10,"Esperou o ano inteiro pelo carnaval? 🥳🎉 Aqui você encontra looks e acessórios que vão fazer seu visual brilhar no bloco, avenida e rolê. Descubra o seu favorito.

#continenteshopping #carnaval #look",13,0,1,0,1478,0,14
CS,Instagram,Carrossel,2026-02-03,"Alerta de fofura máxima passando no seu feed! 🚨🐾

Já conhece a Capiloja? É o lugar oficial para você levar um pedacinho do @capivalleyparque para casa. Da pelúcia da Capitu aos acessórios mais descola",47,1,1,12,4032,0,61
CS,Instagram,Carrossel,2026-02-02,"Cinema por R$10?! A SEMANA DO CINEMA NA CINÉPOLIS está chegando… e vai ser IM-PER-DÍ-VEL! 🎬✨

Prepare-se para iniciar a contagem regressiva, porque vem aí dias inteiros de cinema do jeito que você ama",3696,44,352,7034,79450,0,11126
CS,Instagram,Story,2026-05-02,,0,0,0,0,1878,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,1985,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,2089,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,2190,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,2203,0,0
CS,Instagram,Story,2026-05-02,,0,2,0,0,4112,0,2
CS,Instagram,Story,2026-05-02,,0,0,0,0,4365,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,4694,0,0
CS,Instagram,Story,2026-05-02,,0,0,0,0,4655,0,0
CS,Instagram,Story,2026-05-02,,0,5,0,0,5189,0,5
BS,Instagram,Reel,2026-05-01,"👠✨ last night was ICONIC.

a première de o diabo veste prada 2 tomou o Balneário Shopping com uma noite à altura e looks que a Miranda aprovaria! 

#DiaboVestePrada #FashionBS #BalnearioShopping",612,25,6,146,12038,0,789
BS,Instagram,Carrossel,2026-05-01,"✨ feriado pede experiência

cinema, exposições, atrações e um mix completo para viver o dia do começo ao fim.

hoje, 1º de maio, estamos abertos esperando por você.

👉 programe sua visita.

#Experienc",143,34,1,14,6221,0,192
BS,Instagram,Carrossel,2026-05-01,"🍽️✨ feriado pede bons sabores

hoje, 1º de maio, o Balneário Shopping está aberto, perfeito para um almoço especial, um café sem pressa ou um jantar para fechar o dia.

👉 vem aproveitar o feriado com ",28,4,1,1,3751,0,34
